,Position,Driver,Car,Lap,Time
27,1,Alain Prost,Ferrari,77,1:24.368
5,2,Nigel Mansell,Williams Renault,53,1:24.850
6,3,Riccardo Patrese,Williams Renault,34,1:25.147
2,4,Gerhard Berger,McLaren Honda,6,1:25.228
1,5,Ayrton Senna,McLaren Honda,32,1:25.250
4,6,Stefano Modena,Tyrrell Honda,34,1:25.629
19,7,Roberto Moreno,Benetton Ford,31,1:25.823
28,8,Jean Alesi,Ferrari,51,1:26.055
33,9,Andrea de Cesaris,Jordan Ford,10,1:26.257
11,10,Mika Hakkinen,Lotus Judd,64,1:26.627
21,11,Emanuele Pirro,Dallara Judd,52,1:26.924
32,12,Bertrand Gachot,Jordan Ford,64,1:27.163
26,13,Erik Comas,Ligier Lamborghini,40,1:27.304
22,14,Jyrki Jarvilehto,Dallara Judd,41,1:27.541
29,15,Eric Bernard,Lola Ford,64,1:27.624
8,16,Mark Blundell,Brabham Yamaha,33,1:27.641
3,17,Satoru Nakajima,Tyrrell Honda,11,1:27.740
23,18,Pierluigi Martini,Minardi Ferrari,49,1:27.740
25,19,Thierry Boutsen,Ligier Lamborghini,71,1:27.787
15,20,Mauricio Gugelmin,Leyton House Ilmor,37,1:28.012
24,21,Gianni Morbidelli,Minardi Ferrari,41,1:28.648
30,22,Aguri Suzuki,Lola Ford,6,1:28.661
16,23,Ivan Capelli,Leyton House Ilmor,4,1:28.803
17,24,Gabriele Tarquini,AGS Ford,7,1:29.711
9,25,Michele Alboreto,Footwork Porsche,6,1:30.366
