,Position,Driver,Car,Laps,Time,Points
8,1,Mika Hakkinen,McLaren Mercedes,78,1:51:23.595,10
5,2,Giancarlo Fisichella,Benetton Playlife,78,+11.475s,6
4,3,Eddie Irvine,Ferrari,78,+41.378s,4
17,4,Mika Salo,Arrows,78,+60.363s,3
1,5,Jacques Villeneuve,Williams Mecachrome,77,+1 lap,2
16,6,Pedro Diniz,Arrows,77,+1 lap,1
15,7,Johnny Herbert,Sauber Petronas,77,+1 lap,0
9,8,Damon Hill,Jordan Mugen Honda,76,+2 laps,0
22,9,Shinji Nakano,Minardi Ford,76,+2 laps,0
3,10,Michael Schumacher,Ferrari,76,+2 laps,0
21,11,Toranosuke Takagi,Tyrrell Ford,76,+2 laps,0
14,12,Jean Alesi,Sauber Petronas,72,DNF,0
12,NC,Jarno Trulli,Prost Peugeot,56,DNF,0
11,NC,Olivier Panis,Prost Peugeot,49,DNF,0
10,NC,Ralf Schumacher,Jordan Mugen Honda,44,DNF,0
6,NC,Alexander Wurz,Benetton Playlife,42,DNF,0
19,NC,Jan Magnussen,Stewart Ford,30,DNF,0
7,NC,David Coulthard,McLaren Mercedes,17,DNF,0
18,NC,Rubens Barrichello,Stewart Ford,11,DNF,0
2,NC,Heinz-Harald Frentzen,Williams Mecachrome,9,DNF,0
23,NC,Esteban Tuero,Minardi Ford,0,DNF,0
