,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:19.798,12
7,2,David Coulthard,McLaren Mercedes,1:20.137,11
5,3,Giancarlo Fisichella,Benetton Playlife,1:20.368,12
3,4,Michael Schumacher,Ferrari,1:20.702,11
2,5,Heinz-Harald Frentzen,Williams Mecachrome,1:20.729,12
6,6,Alexander Wurz,Benetton Playlife,1:20.955,12
4,7,Eddie Irvine,Ferrari,1:21.712,11
17,8,Mika Salo,Arrows,1:22.144,11
15,9,Johnny Herbert,Sauber Petronas,1:22.157,11
12,10,Jarno Trulli,Prost Peugeot,1:22.238,12
14,11,Jean Alesi,Sauber Petronas,1:22.257,12
16,12,Pedro Diniz,Arrows,1:22.355,12
1,13,Jacques Villeneuve,Williams Mecachrome,1:22.468,12
18,14,Rubens Barrichello,Stewart Ford,1:22.540,11
9,15,Damon Hill,Jordan Mugen Honda,1:23.151,12
10,16,Ralf Schumacher,Jordan Mugen Honda,1:23.263,12
19,17,Jan Magnussen,Stewart Ford,1:23.411,12
11,18,Olivier Panis,Prost Peugeot,1:23.536,11
22,19,Shinji Nakano,Minardi Ford,1:23.957,12
21,20,Toranosuke Takagi,Tyrrell Ford,1:24.024,12
23,21,Esteban Tuero,Minardi Ford,1:24.031,12
20,NC,Ricardo Rosset,Tyrrell Ford,1:25.737,9
