,Position,Driver,Car,Time
6,1,Mike Hawthorn,Ferrari,2:23.100
8,2,Stirling Moss,Vanwall,2:23.200
12,3,Stuart  Lewis-Evans ,Vanwall,2:23.700
14,4,Jean Behra,BRM,2:23.800
4,5,Phil Hill,Ferrari,2:24.100
2,6,Olivier  Gendebien,Ferrari,2:24.300
10,7,Tony Brooks,Vanwall,2:24.400
18,8,Jo Bonnier,BRM,2:24.900
38,9,Maurice  Trintignant,Cooper Climax,2:26.100
16,10,Harry Schell,BRM,2:26.400
32,11,Jack  Fairman,Cooper Climax,2:27.000
36,12,Graham Hill,Lotus Climax,2:27.100
22,13,Masten Gregory,Maserati,2:27.600
30,14,Roy Salvadori,Cooper Climax,2:28.600
20,15,Ron Flockhart,BRM,2:29.800
34,16,Cliff Allison,Lotus Climax,2:33.700
28,17,Gerino  Gerini ,Maserati,2:35.100
24,18,Hans  Herrmann,Maserati,2:35.100
50,19,Jack Brabham,Cooper Climax,2:36.600
26,20,Wolfgang Seidel,Maserati,2:38.200
52,21,Bruce McLaren,Cooper Climax,2:41.200
56,22,Tom Bridger,Cooper Climax,2:42.500
58,23,Robert La Caze,Cooper Climax,2:43.100
54,24,Francois Picard,Cooper Climax,2:46.600
60,25,Andre Guelfi,Cooper Climax,2:47.000
