,Position,Driver,Car,Time
28,1,Gerhard Berger,Ferrari,1:17.620
5,2,Nigel Mansell,Williams Honda,1:17.951
1,3,Alain Prost,McLaren TAG,1:17.994
6,4,Nelson Piquet,Williams Honda,1:18.164
12,5,Ayrton Senna,Lotus Honda,1:18.354
27,6,Michele Alboreto,Ferrari,1:18.540
7,7,Riccardo Patrese,Brabham BMW,1:19.965
2,8,Stefan Johansson,McLaren TAG,1:20.134
20,9,Thierry Boutsen,Benetton Ford,1:20.305
19,10,Teo Fabi,Benetton Ford,1:20.483
18,11,Eddie  Cheever,Arrows Megatron,1:21.207
17,12,Derek Warwick,Arrows Megatron,1:21.397
8,13,Andrea de Cesaris,Brabham BMW,1:21.725
24,14,Alessandro Nannini,Minardi Motori Moderni,1:21.784
11,15,Satoru Nakajima,Lotus Honda,1:22.222
10,16,Christian Danner,Zakspeed,1:22.358
9,17,Martin Brundle,Zakspeed,1:22.400
25,18,Rene Arnoux,Ligier Megatron,1:23.237
30,19,Philippe Alliot,Lola Ford,1:23.580
23,20,Adrian Campos,Minardi Motori Moderni,1:23.591
4,21,Philippe Streiff,Tyrrell Ford,1:23.810
16,22,Ivan Capelli,March Ford,1:23.905
26,23,Piercarlo Ghinzani,Ligier Megatron,1:24.105
3,24,Jonathan  Palmer,Tyrrell Ford,1:24.217
21,25,Alex Caffi,Osella Alfa Romeo,1:24.792
22,26,Franco Forini,Osella Alfa Romeo,1:26.635
14,27,Pascal Fabre,AGS Ford,1:26.946
