,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Michael Schumacher,Ferrari,46,1:17.111,205.931
6,2,Felipe Massa,Ferrari,18,1:17.141,205.851
4,3,Pedro de la Rosa,McLaren Mercedes,34,1:17.625,204.568
3,4,Kimi Räikkönen,McLaren Mercedes,30,1:17.717,204.325
1,5,Fernando Alonso,Renault,23,1:17.770,204.186
7,6,Ralf Schumacher,Toyota,19,1:17.809,204.084
17,7,Jacques Villeneuve,Sauber BMW,56,1:17.906,203.830
8,8,Jarno Trulli,Toyota,16,1:18.036,203.490
2,9,Giancarlo Fisichella,Renault,20,1:18.057,203.435
20,10,Vitantonio Liuzzi,STR Cosworth,54,1:18.241,202.957
12,11,Jenson Button,Honda,47,1:18.510,202.262
21,12,Scott Speed,STR Cosworth,66,1:18.674,201.840
10,13,Nico Rosberg,Williams Cosworth,62,1:18.796,201.527
16,14,Nick Heidfeld,Sauber BMW,48,1:18.809,201.494
9,15,Mark Webber,Williams Cosworth,34,1:18.859,201.366
15,16,Christian Klien,RBR Ferrari,56,1:18.968,201.089
14,17,David Coulthard,RBR Ferrari,56,1:18.978,201.063
19,18,Christijan Albers,MF1 Toyota,67,1:19.356,200.105
11,19,Rubens Barrichello,Honda,16,1:20.094,198.262
23,20,Franck Montagny,Super Aguri Honda,53,1:20.113,198.215
18,21,Tiago Monteiro,MF1 Toyota,8,1:21.663,194.452
