,Position,Driver,Car,Time / Gap,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:40.888,25
5,2,Sebastian Vettel,RBR Renault,+0.257s,28
8,3,Fernando Alonso,Ferrari,+0.426s,29
6,4,Mark Webber,RBR Renault,+0.427s,29
11,5,Robert Kubica,Renault,+0.688s,31
7,6,Felipe Massa,Ferrari,+0.695s,21
12,7,Vitaly Petrov,Renault,+1.208s,31
1,8,Jenson Button,McLaren Mercedes,+1.244s,28
15,9,Vitantonio Liuzzi,Force India Mercedes,+1.315s,31
4,10,Nico Rosberg,Mercedes,+1.334s,29
3,11,Michael Schumacher,Mercedes,+1.358s,29
10,12,Nico Hulkenberg,Williams Cosworth,+1.561s,32
14,13,Adrian Sutil,Force India Mercedes,+1.647s,21
23,14,Kamui Kobayashi,Sauber Ferrari,+1.880s,26
9,15,Rubens Barrichello,Williams Cosworth,+2.026s,37
22,16,Nick Heidfeld,Sauber Ferrari,+2.062s,34
17,17,Jaime Alguersuari,STR Ferrari,+2.240s,17
16,18,Sebastien Buemi,STR Ferrari,+2.696s,33
19,19,Heikki Kovalainen,Lotus Cosworth,+4.292s,36
24,20,Timo Glock,Virgin Cosworth,+4.371s,31
18,21,Jarno Trulli,Lotus Cosworth,+4.724s,35
25,22,Lucas di Grassi,Virgin Cosworth,+5.165s,29
20,23,Christian Klien,HRT Cosworth,+6.322s,32
21,24,Bruno Senna,HRT Cosworth,+6.546s,28
