,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Lewis Hamilton,McLaren Mercedes,47,1:41.274,197.428
1,2,Jenson Button,McLaren Mercedes,48,1:41.636,196.725
4,3,Nico Rosberg,Mercedes,52,1:41.711,196.580
5,4,Sebastian Vettel,RBR Renault,50,1:41.739,196.526
11,5,Robert Kubica,Renault,51,1:41.753,196.499
6,6,Mark Webber,RBR Renault,52,1:42.196,195.647
8,7,Fernando Alonso,Ferrari,52,1:42.227,195.588
12,8,Vitaly Petrov,Renault,52,1:42.311,195.427
10,9,Nico Hulkenberg,Williams Cosworth,51,1:42.397,195.263
16,10,Sebastien Buemi,STR Ferrari,50,1:42.573,194.928
9,11,Rubens Barrichello,Williams Cosworth,50,1:42.669,194.746
22,12,Nick Heidfeld,Sauber Ferrari,52,1:42.673,194.738
14,13,Adrian Sutil,Force India Mercedes,52,1:42.695,194.696
7,14,Felipe Massa,Ferrari,52,1:42.725,194.640
17,15,Jaime Alguersuari,STR Ferrari,49,1:42.727,194.636
23,16,Kamui Kobayashi,Sauber Ferrari,53,1:42.733,194.624
19,17,Heikki Kovalainen,Lotus Cosworth,52,1:45.378,189.739
18,18,Jarno Trulli,Lotus Cosworth,42,1:45.979,188.663
25,19,Lucas di Grassi,Virgin Cosworth,50,1:46.126,188.402
21,20,Bruno Senna,HRT Cosworth,52,1:46.255,188.173
20,21,Christian Klien,HRT Cosworth,44,1:46.646,187.483
24,22,Timo Glock,Virgin Cosworth,39,1:46.837,187.148
