,Position,Driver,Car,Time,Laps
5,1,Damon Hill,Williams Renault,1:26.875,10
6,2,Jacques Villeneuve,Williams Renault,1:27.070,12
1,3,Michael Schumacher,Ferrari,1:27.707,9
7,4,Mika Hakkinen,McLaren Mercedes,1:27.856,12
3,5,Jean Alesi,Benetton Renault,1:28.307,10
11,6,Rubens Barrichello,Jordan Peugeot,1:28.409,12
4,7,Gerhard Berger,Benetton Renault,1:28.653,9
12,8,Martin Brundle,Jordan Peugeot,1:28.946,11
8,9,David Coulthard,McLaren Mercedes,1:28.966,12
2,10,Eddie Irvine,Ferrari,1:29.186,12
15,11,Heinz-Harald Frentzen,Sauber Ford,1:29.591,12
18,12,Ukyo Katayama,Tyrrell Yamaha,1:29.913,12
14,13,Johnny Herbert,Sauber Ford,1:29.947,12
19,14,Mika Salo,Tyrrell Yamaha,1:29.949,12
17,15,Jos Verstappen,Footwork Hart,1:30.102,12
9,16,Olivier Panis,Ligier Mugen Honda,1:30.167,10
16,17,Ricardo Rosset,Footwork Hart,1:30.529,11
10,18,Pedro Diniz,Ligier Mugen Honda,1:31.076,12
21,19,Giancarlo Fisichella,Minardi Ford,1:31.365,11
20,20,Pedro Lamy,Minardi Ford,1:31.454,12
23,21,Andrea Montermini,Forti Ford,1:35.206,3
22,22,Luca Badoer,Forti Ford,1:35.304,3
