,Position,Driver,Car,Time / Gap,Laps
6,1,Nico Rosberg,Mercedes,1:20.435,45
3,2,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.595s,36
5,3,Sebastian Vettel,Ferrari,+0.913s,31
33,4,Max Verstappen,Red Bull Racing TAG Heuer,+1.335s,35
44,5,Lewis Hamilton,Mercedes,+1.525s,4
7,6,Kimi Räikkönen,Ferrari,+1.623s,46
14,7,Fernando Alonso,McLaren Honda,+1.893s,21
22,8,Jenson Button,McLaren Honda,+1.952s,34
27,9,Nico Hulkenberg,Force India Mercedes,+2.014s,41
11,10,Sergio Perez,Force India Mercedes,+2.218s,38
21,11,Esteban Gutierrez ,Haas Ferrari,+2.238s,38
19,12,Felipe Massa,Williams Mercedes,+2.246s,39
55,13,Carlos Sainz,Toro Rosso Ferrari,+2.254s,24
77,14,Valtteri Bottas,Williams Mercedes,+2.338s,38
8,15,Romain Grosjean,Haas Ferrari,+2.429s,28
26,16,Daniil Kvyat,Toro Rosso Ferrari,+2.513s,43
20,17,Kevin Magnussen,Renault,+2.912s,41
9,18,Marcus Ericsson,Sauber Ferrari,+3.002s,36
30,19,Jolyon Palmer,Renault,+3.093s,12
12,20,Felipe Nasr,Sauber Ferrari,+3.551s,31
94,21,Pascal Wehrlein,MRT Mercedes,+3.557s,22
88,22,Rio Haryanto,MRT Mercedes,+3.830s,36
