,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:21.347,34
6,2,Nico Rosberg,Mercedes,+0.237s,34
5,3,Sebastian Vettel,Ferrari,+1.644s,22
7,4,Kimi Räikkönen,Ferrari,+1.735s,19
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.827s,28
33,6,Max Verstappen,Red Bull Racing TAG Heuer,+2.110s,27
14,7,Fernando Alonso,McLaren Honda,+2.588s,28
22,8,Jenson Button,McLaren Honda,+2.614s,18
8,9,Romain Grosjean,Haas Ferrari,+2.666s,22
11,10,Sergio Perez,Force India Mercedes,+2.726s,29
27,11,Nico Hulkenberg,Force India Mercedes,+2.773s,29
19,12,Felipe Massa,Williams Mercedes,+2.807s,27
77,13,Valtteri Bottas,Williams Mercedes,+3.023s,33
55,14,Carlos Sainz,Toro Rosso Ferrari,+3.232s,27
9,15,Marcus Ericsson,Sauber Ferrari,+3.634s,19
50,16,Charles Leclerc,Haas Ferrari,+3.834s,22
12,17,Felipe Nasr,Sauber Ferrari,+3.909s,18
45,18,Esteban Ocon,Renault,+3.913s,28
26,19,Daniil Kvyat,Toro Rosso Ferrari,+3.977s,16
88,20,Rio Haryanto,MRT Mercedes,+5.665s,23
94,21,Pascal Wehrlein,MRT Mercedes,+5.902s,9
30,22,Jolyon Palmer,Renault,+7.213s,6
