,Position,Driver,Car,Time
7,1,Martin Brundle,Brabham Yamaha,1:17.707
1,1,Ayrton Senna,McLaren Honda,1:14.041
2,2,Gerhard Berger,McLaren Honda,1:14.385
10,2,Alex Caffi,Footwork Porsche,1:18.007
8,3,Mark Blundell,Brabham Yamaha,1:18.049
5,3,Nigel Mansell,Williams Renault,1:14.822
6,4,Riccardo Patrese,Williams Renault,1:15.057
9,4,Michele Alboreto,Footwork Porsche,1:18.051
14,5,Gabriele Tarquini,Fondmetal Ford,1:18.184
20,5,Nelson Piquet,Benetton Ford,1:15.291
31,6,Naoki Hattori,Coloni Ford,1:22.852
19,6,Michael Schumacher,Benetton Ford,1:15.508
28,7,Jean Alesi,Ferrari,1:15.545
27,8,Gianni Morbidelli,Ferrari,1:16.203
4,9,Stefano Modena,Tyrrell Honda,1:16.253
23,10,Pierluigi Martini,Minardi Ferrari,1:16.359
22,11,Jyrki Jarvilehto,Dallara Judd,1:16.871
33,12,Andrea de Cesaris,Jordan Ford,1:17.050
21,13,Emanuele Pirro,Dallara Judd,1:17.342
15,14,Mauricio Gugelmin,Leyton House Ilmor,1:17.344
32,16,Alessandro Zanardi,Jordan Ford,1:17.362
24,18,Roberto Moreno,Minardi Ferrari,1:17.639
34,19,Nicola Larini,Lambo Lamborghini,1:17.936
25,20,Thierry Boutsen,Ligier Lamborghini,1:17.969
12,21,Johnny Herbert,Lotus Judd,1:18.091
26,22,Erik Comas,Ligier Lamborghini,1:18.112
3,24,Satoru Nakajima,Tyrrell Honda,1:18.216
11,25,Mika Hakkinen,Lotus Judd,1:18.271
16,26,Karl Wendlinger,Leyton House Ilmor,1:18.282
30,27,Aguri Suzuki,Lola Ford,1:18.393
35,29,Eric van de Poele,Lambo Lamborghini,1:19.000
29,30,Bertrand Gachot,Lola Ford,1:19.274
