,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:14.314
6,2,Riccardo Patrese,Williams Renault,+0.476s
5,3,Nigel Mansell,Williams Renault,+0.556s
20,4,Nelson Piquet,Benetton Ford,+1.041s
19,5,Michael Schumacher,Benetton Ford,+1.128s
32,6,Alessandro Zanardi,Jordan Ford,+1.361s
28,7,Jean Alesi,Ferrari,+1.508s
27,8,Gianni Morbidelli,Ferrari,+1.593s
23,9,Pierluigi Martini,Minardi Ferrari,+1.615s
1,10,Ayrton Senna,McLaren Honda,+2.248s
4,11,Stefano Modena,Tyrrell Honda,+2.466s
22,12,Jyrki Jarvilehto,Dallara Judd,+2.631s
15,13,Mauricio Gugelmin,Leyton House Ilmor,+2.695s
8,14,Mark Blundell,Brabham Yamaha,+2.753s
33,15,Andrea de Cesaris,Jordan Ford,+2.841s
3,16,Satoru Nakajima,Tyrrell Honda,+3.333s
9,17,Michele Alboreto,Footwork Porsche,+3.343s
10,18,Alex Caffi,Footwork Porsche,+3.367s
34,19,Nicola Larini,Lambo Lamborghini,+3.501s
12,20,Johnny Herbert,Lotus Judd,+3.876s
24,21,Roberto Moreno,Minardi Ferrari,+3.970s
7,22,Martin Brundle,Brabham Yamaha,+4.222s
16,23,Karl Wendlinger,Leyton House Ilmor,+4.237s
35,24,Eric van de Poele,Lambo Lamborghini,+4.252s
26,25,Erik Comas,Ligier Lamborghini,+4.332s
11,26,Mika Hakkinen,Lotus Judd,+4.405s
21,27,Emanuele Pirro,Dallara Judd,+4.538s
29,28,Bertrand Gachot,Lola Ford,+5.182s
25,29,Thierry Boutsen,Ligier Lamborghini,+5.334s
30,30,Aguri Suzuki,Lola Ford,+5.910s
