,Position,Driver,Car,Laps,Time,Points
1,1,Ayrton Senna,McLaren Honda,14,24:34.899,5
5,2,Nigel Mansell,Williams Renault,14,+1.259s,3
2,3,Gerhard Berger,McLaren Honda,14,+5.120s,2
20,4,Nelson Piquet,Benetton Ford,14,+30.103s,1.5
6,5,Riccardo Patrese,Williams Renault,14,+50.537s,1
27,6,Gianni Morbidelli,Ferrari,14,+51.069s,0.5
21,7,Emanuele Pirro,Dallara Judd,14,+52.361s,0
33,8,Andrea de Cesaris,Jordan Ford,14,+60.431s,0
32,9,Alessandro Zanardi,Jordan Ford,14,+75.567s,0
4,10,Stefano Modena,Tyrrell Honda,14,+80.370s,0
12,11,Johnny Herbert,Lotus Judd,14,+82.073s,0
22,12,Jyrki Jarvilehto,Dallara Judd,14,+98.519s,0
9,13,Michele Alboreto,Footwork Porsche,14,+99.303s,0
15,14,Mauricio Gugelmin,Leyton House Ilmor,13,DNF,0
10,15,Alex Caffi,Footwork Porsche,13,+1 lap,0
24,16,Roberto Moreno,Minardi Ferrari,13,+1 lap,0
8,17,Mark Blundell,Brabham Yamaha,13,+1 lap,0
26,18,Erik Comas,Ligier Lamborghini,13,+1 lap,0
11,19,Mika Hakkinen,Lotus Judd,13,+1 lap,0
16,20,Karl Wendlinger,Leyton House Ilmor,12,+2 laps,0
23,NC,Pierluigi Martini,Minardi Ferrari,8,DNF,0
19,NC,Michael Schumacher,Benetton Ford,5,DNF,0
28,NC,Jean Alesi,Ferrari,5,DNF,0
34,NC,Nicola Larini,Lambo Lamborghini,5,DNF,0
25,NC,Thierry Boutsen,Ligier Lamborghini,5,DNF,0
3,NC,Satoru Nakajima,Tyrrell Honda,4,DNF,0
