,Position,Driver,Car,Lap,Time
2,1,Gerhard Berger,McLaren Honda,14,1:41.141
1,2,Ayrton Senna,McLaren Honda,13,1:42.545
20,3,Nelson Piquet,Benetton Ford,5,1:42.616
5,4,Nigel Mansell,Williams Renault,13,1:42.908
32,5,Alessandro Zanardi,Jordan Ford,14,1:43.519
19,6,Michael Schumacher,Benetton Ford,4,1:43.714
21,7,Emanuele Pirro,Dallara Judd,13,1:44.933
33,8,Andrea de Cesaris,Jordan Ford,14,1:45.264
6,9,Riccardo Patrese,Williams Renault,9,1:45.297
27,10,Gianni Morbidelli,Ferrari,5,1:45.599
28,11,Jean Alesi,Ferrari,5,1:45.738
4,12,Stefano Modena,Tyrrell Honda,12,1:45.912
12,13,Johnny Herbert,Lotus Judd,12,1:46.437
8,14,Mark Blundell,Brabham Yamaha,13,1:46.821
24,15,Roberto Moreno,Minardi Ferrari,13,1:47.000
9,16,Michele Alboreto,Footwork Porsche,12,1:47.030
15,17,Mauricio Gugelmin,Leyton House Ilmor,12,1:47.395
10,18,Alex Caffi,Footwork Porsche,13,1:47.421
22,19,Jyrki Jarvilehto,Dallara Judd,11,1:48.018
16,20,Karl Wendlinger,Leyton House Ilmor,12,1:48.614
34,21,Nicola Larini,Lambo Lamborghini,5,1:49.640
26,22,Erik Comas,Ligier Lamborghini,13,1:50.046
11,23,Mika Hakkinen,Lotus Judd,10,1:50.949
23,24,Pierluigi Martini,Minardi Ferrari,8,1:51.274
25,25,Thierry Boutsen,Ligier Lamborghini,5,1:52.628
3,26,Satoru Nakajima,Tyrrell Honda,4,1:55.073
