,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:14.982
1,2,Ayrton Senna,McLaren Honda,+0.433s
6,3,Riccardo Patrese,Williams Renault,+1.217s
4,4,Stefano Modena,Tyrrell Honda,+1.434s
27,5,Gianni Morbidelli,Ferrari,+1.469s
5,6,Nigel Mansell,Williams Renault,+1.574s
28,7,Jean Alesi,Ferrari,+1.725s
33,8,Andrea de Cesaris,Jordan Ford,+2.046s
20,9,Nelson Piquet,Benetton Ford,+2.382s
15,10,Mauricio Gugelmin,Leyton House Ilmor,+2.506s
19,11,Michael Schumacher,Benetton Ford,+2.609s
22,12,Jyrki Jarvilehto,Dallara Judd,+2.957s
23,13,Pierluigi Martini,Minardi Ferrari,+3.069s
21,14,Emanuele Pirro,Dallara Judd,+3.128s
12,15,Johnny Herbert,Lotus Judd,+3.343s
10,16,Alex Caffi,Footwork Porsche,+3.428s
34,17,Nicola Larini,Lambo Lamborghini,+3.621s
30,18,Aguri Suzuki,Lola Ford,+3.652s
9,19,Michele Alboreto,Footwork Porsche,+3.689s
7,20,Martin Brundle,Brabham Yamaha,+3.717s
32,21,Alessandro Zanardi,Jordan Ford,+3.792s
16,22,Karl Wendlinger,Leyton House Ilmor,+3.882s
8,23,Mark Blundell,Brabham Yamaha,+3.960s
26,24,Erik Comas,Ligier Lamborghini,+4.617s
29,25,Bertrand Gachot,Lola Ford,+4.893s
3,26,Satoru Nakajima,Tyrrell Honda,+4.914s
24,27,Roberto Moreno,Minardi Ferrari,+5.045s
25,28,Thierry Boutsen,Ligier Lamborghini,+5.076s
11,29,Mika Hakkinen,Lotus Judd,+5.149s
35,30,Eric van de Poele,Lambo Lamborghini,+5.550s
