,Position,Driver,Car,Time
5,1,Mario Andretti,Lotus Ford,1:47.750
11,2,Carlos Reutemann,Ferrari,1:47.840
6,3,Ronnie Peterson,Lotus Ford,1:48.390
2,4,John Watson,Brabham Alfa Romeo,1:48.420
1,5,Niki Lauda,Brabham Alfa Romeo,1:48.700
7,6,James Hunt,McLaren Ford,1:48.720
12,7,Gilles Villeneuve,Ferrari,1:48.970
26,8,Jacques Laffite,Ligier Matra,1:49.130
8,9,Patrick Tambay,McLaren Ford,1:49.470
4,10,Patrick Depailler,Tyrrell Ford,1:49.690
10,11,Jean-Pierre Jarier,ATS Ford,1:49.770
19,12,Vittorio Brambilla,Surtees Ford,1:49.910
9,13,Jochen Mass,ATS Ford,1:50.060
27,14,Alan  Jones,Williams Ford,1:50.110
20,15,Jody Scheckter,Wolf Ford,1:50.350
17,16,Clay Regazzoni,Shadow Ford,1:50.450
14,17,Emerson Fittipaldi,Fittipaldi Ford,1:50.820
16,18,Hans-Joachim Stuck,Shadow Ford,1:51.160
18,19,Rupert Keegan,Surtees Ford,1:51.420
37,20,Arturo Merzario,Merzario Ford,1:51.680
22,21,Danny Ongais,Ensign Ford,1:51.710
23,22,Lamberto Leoni,Ensign Ford,1:51.940
3,23,Didier Pironi,Tyrrell Ford,1:51.990
30,24,Brett Lunger,McLaren Ford,1:52.270
