,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:24.178,26
33,2,Max Verstappen,Red Bull Racing Honda,+0.425s,24
16,3,Charles Leclerc,Ferrari,+0.476s,27
77,4,Valtteri Bottas,Mercedes,+0.664s,28
55,5,Carlos Sainz,Ferrari,+0.682s,25
31,6,Esteban Ocon,Alpine Renault,+0.731s,30
4,7,Lando Norris,McLaren Mercedes,+1.169s,26
10,8,Pierre Gasly,AlphaTauri Honda,+1.204s,30
14,9,Fernando Alonso,Alpine Renault,+1.205s,26
11,10,Sergio Perez,Red Bull Racing Honda,+1.281s,24
63,11,George Russell,Williams Mercedes,+1.507s,25
3,12,Daniel Ricciardo,McLaren Mercedes,+1.572s,26
5,13,Sebastian Vettel,Aston Martin Mercedes,+1.632s,26
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.635s,24
6,15,Nicholas Latifi,Williams Mercedes,+1.685s,28
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.755s,24
18,17,Lance Stroll,Aston Martin Mercedes,+2.183s,29
22,18,Yuki Tsunoda,AlphaTauri Honda,+2.246s,28
47,19,Mick Schumacher,Haas Ferrari,+2.458s,25
9,20,Nikita Mazepin,Haas Ferrari,+2.841s,28
