,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:22.998
33,2,Max Verstappen,Red Bull Racing Honda,1:23.196
16,3,Charles Leclerc,Ferrari,1:23.265
10,4,Pierre Gasly,AlphaTauri Honda,1:23.326
14,5,Fernando Alonso,Alpine Renault,1:23.477
11,6,Sergio Perez,Red Bull Racing Honda,1:23.706
4,7,Lando Norris,McLaren Mercedes,1:23.954
18,8,Lance Stroll,Aston Martin Mercedes,1:24.305
22,9,Yuki Tsunoda,AlphaTauri Honda,1:24.368
5,10,Sebastian Vettel,Aston Martin Mercedes,1:24.795
44,11,Lewis Hamilton,Mercedes,1:22.868
31,12,Esteban Ocon,Alpine Renault,1:24.842
63,13,George Russell,Williams Mercedes,1:25.007
47,14,Mick Schumacher,Haas Ferrari,1:25.200
6,15,Nicholas Latifi,Williams Mercedes,1:26.086
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:26.430
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:27.525
9,18,Nikita Mazepin,Haas Ferrari,1:28.449
55,19,Carlos Sainz,Ferrari,
3,20,Daniel Ricciardo,McLaren Mercedes,1:25.881
