,Position,Driver,Car,Laps,Time,Points
22,1,Jenson Button,Brawn Mercedes,57,1:31:48.182,10
15,2,Sebastian Vettel,RBR Renault,57,+7.187s,8
9,3,Jarno Trulli,Toyota,57,+9.170s,6
1,4,Lewis Hamilton,McLaren Mercedes,57,+22.096s,5
23,5,Rubens Barrichello,Brawn Mercedes,57,+37.779s,4
4,6,Kimi Räikkönen,Ferrari,57,+42.057s,3
10,7,Timo Glock,Toyota,57,+42.880s,2
7,8,Fernando Alonso,Renault,57,+52.775s,1
16,9,Nico Rosberg,Williams Toyota,57,+58.198s,0
8,10,Nelson Piquet,Renault,57,+65.149s,0
14,11,Mark Webber,RBR Renault,57,+67.641s,0
2,12,Heikki Kovalainen,McLaren Mercedes,57,+77.824s,0
11,13,Sebastien Bourdais,STR Ferrari,57,+78.805s,0
3,14,Felipe Massa,Ferrari,56,+1 lap,0
21,15,Giancarlo Fisichella,Force India Mercedes,56,+1 lap,0
20,16,Adrian Sutil,Force India Mercedes,56,+1 lap,0
12,17,Sebastien Buemi,STR Ferrari,56,+1 lap,0
5,18,Robert Kubica,Sauber BMW,56,+1 lap,0
6,19,Nick Heidfeld,Sauber BMW,56,+1 lap,0
17,NC,Kazuki Nakajima,Williams Toyota,48,DNF,0
