,Position,Driver,Car,Time / Gap,Laps
10,1,Timo Glock,Toyota,1:32.605,16
3,2,Felipe Massa,Ferrari,+0.123s,20
16,3,Nico Rosberg,Williams Toyota,+0.301s,18
1,4,Lewis Hamilton,McLaren Mercedes,+0.370s,16
4,5,Kimi Räikkönen,Ferrari,+0.381s,18
8,6,Nelson Piquet,Renault,+0.571s,19
5,7,Robert Kubica,Sauber BMW,+0.590s,13
17,8,Kazuki Nakajima,Williams Toyota,+0.697s,17
9,9,Jarno Trulli,Toyota,+0.792s,19
6,10,Nick Heidfeld,Sauber BMW,+0.810s,14
15,11,Sebastian Vettel,RBR Renault,+0.838s,16
2,12,Heikki Kovalainen,McLaren Mercedes,+0.873s,12
7,13,Fernando Alonso,Renault,+0.877s,13
20,14,Adrian Sutil,Force India Mercedes,+0.929s,17
22,15,Jenson Button,Brawn Mercedes,+0.981s,17
23,16,Rubens Barrichello,Brawn Mercedes,+1.081s,17
12,17,Sebastien Buemi,STR Ferrari,+1.115s,15
14,18,Mark Webber,RBR Renault,+1.121s,14
21,19,Giancarlo Fisichella,Force India Mercedes,+1.357s,15
11,20,Sebastien Bourdais,STR Ferrari,+2.385s,7
