,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Alexander Wurz,Benetton Playlife,39,1:28.179,173.878
8,2,Mika Hakkinen,McLaren Mercedes,32,1:28.261,173.716
3,3,Michael Schumacher,Ferrari,23,1:28.272,173.694
7,4,David Coulthard,McLaren Mercedes,57,1:28.468,173.310
5,5,Giancarlo Fisichella,Benetton Playlife,69,1:28.507,173.233
4,6,Eddie Irvine,Ferrari,27,1:28.933,172.403
14,7,Jean Alesi,Sauber Petronas,44,1:29.000,172.274
11,8,Olivier Panis,Prost Peugeot,57,1:29.201,171.885
9,9,Damon Hill,Jordan Mugen Honda,46,1:29.310,171.676
2,10,Heinz-Harald Frentzen,Williams Mecachrome,37,1:29.592,171.135
1,11,Jacques Villeneuve,Williams Mecachrome,35,1:29.694,170.941
15,12,Johnny Herbert,Sauber Petronas,30,1:29.857,170.631
18,13,Rubens Barrichello,Stewart Ford,36,1:30.408,169.591
12,14,Jarno Trulli,Prost Peugeot,25,1:30.876,168.717
23,15,Esteban Tuero,Minardi Ford,27,1:30.992,168.502
21,16,Toranosuke Takagi,Tyrrell Ford,41,1:31.057,168.382
22,17,Shinji Nakano,Minardi Ford,36,1:31.168,168.177
10,18,Ralf Schumacher,Jordan Mugen Honda,17,1:31.541,167.492
17,19,Mika Salo,Arrows,12,1:32.519,165.721
19,20,Jan Magnussen,Stewart Ford,16,1:32.808,165.205
20,21,Ricardo Rosset,Tyrrell Ford,42,1:33.091,164.703
16,22,Pedro Diniz,Arrows,8,1:33.350,164.246
