,Position,Driver,Car,Time,Laps
7,1,David Coulthard,McLaren Mercedes,1:25.852,12
3,2,Michael Schumacher,Ferrari,1:26.251,12
8,3,Mika Hakkinen,McLaren Mercedes,1:26.632,12
4,4,Eddie Irvine,Ferrari,1:26.780,11
10,5,Ralf Schumacher,Jordan Mugen Honda,1:26.827,12
2,6,Heinz-Harald Frentzen,Williams Mecachrome,1:26.876,12
1,7,Jacques Villeneuve,Williams Mecachrome,1:26.941,12
6,8,Alexander Wurz,Benetton Playlife,1:27.198,12
9,9,Damon Hill,Jordan Mugen Honda,1:27.483,12
5,10,Giancarlo Fisichella,Benetton Playlife,1:27.836,12
14,11,Jean Alesi,Sauber Petronas,1:27.839,11
15,12,Johnny Herbert,Sauber Petronas,1:28.016,11
21,13,Toranosuke Takagi,Tyrrell Ford,1:28.811,12
18,14,Rubens Barrichello,Stewart Ford,1:29.249,12
11,15,Olivier Panis,Prost Peugeot,1:29.320,12
12,16,Jarno Trulli,Prost Peugeot,1:29.352,10
17,17,Mika Salo,Arrows,1:29.617,12
16,18,Pedro Diniz,Arrows,1:30.022,11
22,19,Shinji Nakano,Minardi Ford,1:30.054,12
23,20,Esteban Tuero,Minardi Ford,1:30.158,12
20,21,Ricardo Rosset,Tyrrell Ford,1:30.437,12
19,22,Jan Magnussen,Stewart Ford,1:31.178,11
