,Position,Driver,Car,Time / Gap,Laps
1,1,Fernando Alonso,McLaren Mercedes,1:12.156,35
2,2,Lewis Hamilton,McLaren Mercedes,+0.153s,34
5,3,Felipe Massa,Ferrari,+0.279s,36
6,4,Kimi Räikkönen,Ferrari,+0.431s,38
9,5,Nick Heidfeld,Sauber BMW,+0.870s,43
14,6,David Coulthard,Red Bull Renault,+0.886s,41
16,7,Nico Rosberg,Williams Toyota,+0.901s,35
4,8,Heikki Kovalainen,Renault,+0.954s,48
8,9,Rubens Barrichello,Honda,+0.988s,40
7,10,Jenson Button,Honda,+1.046s,46
10,11,Sebastian Vettel,Sauber BMW,+1.061s,50
15,12,Mark Webber,Red Bull Renault,+1.107s,21
18,13,Vitantonio Liuzzi,STR Ferrari,+1.176s,41
23,14,Anthony Davidson,Super Aguri Honda,+1.208s,46
3,15,Giancarlo Fisichella,Renault,+1.238s,44
17,16,Alexander Wurz,Williams Toyota,+1.383s,29
12,17,Jarno Trulli,Toyota,+1.536s,42
19,18,Scott Speed,STR Ferrari,+1.556s,34
22,19,Takuma Sato,Super Aguri Honda,+1.597s,46
11,20,Ralf Schumacher,Toyota,+1.609s,39
21,21,Christijan Albers,Spyker Ferrari,+2.069s,30
20,22,Adrian Sutil,Spyker Ferrari,+2.357s,33
