,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,49,1:18.986
2,2,Alain Prost,McLaren Honda,48,1:19.385
1,3,Ayrton Senna,McLaren Honda,47,1:19.490
5,4,Thierry Boutsen,Williams Renault,38,1:19.575
6,5,Riccardo Patrese,Williams Renault,46,1:19.796
15,6,Mauricio Gugelmin,March Judd,69,1:20.571
30,7,Philippe Alliot,Lola Lamborghini,33,1:20.697
19,8,Alessandro Nannini,Benetton Ford,43,1:20.722
7,9,Martin Brundle,Brabham Judd,50,1:21.167
23,10,Pierluigi Martini,Minardi Ford,34,1:21.170
36,11,Stefan Johansson,Onyx Ford,45,1:21.224
21,12,Alex Caffi,Dallara Ford,33,1:21.300
8,13,Stefano Modena,Brabham Judd,64,1:21.451
3,14,Jonathan  Palmer,Tyrrell Ford,34,1:21.562
25,15,Rene Arnoux,Ligier Ford,63,1:21.603
29,16,Michele Alboreto,Lola Lamborghini,56,1:21.756
12,17,Satoru Nakajima,Lotus Judd,39,1:21.794
24,18,Luis Perez-Sala,Minardi Ford,60,1:22.114
11,19,Nelson Piquet,Lotus Judd,22,1:22.356
16,20,Ivan Capelli,March Judd,18,1:22.873
9,21,Derek Warwick,Arrows Ford,27,1:22.926
22,22,Andrea de Cesaris,Dallara Ford,4,1:23.592
10,23,Eddie  Cheever,Arrows Ford,7,1:23.732
20,24,Emanuele Pirro,Benetton Ford,3,1:24.080
31,25,Roberto Moreno,Coloni Ford,10,1:25.411
