,Position,Driver,Car,Time
36,1,Stefan Johansson,Onyx Ford,1:18.623
1,1,Ayrton Senna,McLaren Honda,1:15.468
28,2,Gerhard Berger,Ferrari,1:16.059
30,2,Philippe Alliot,Lola Lamborghini,1:19.164
27,3,Nigel Mansell,Ferrari,1:16.193
41,3,Yannick Dalmas,AGS Ford,1:19.320
31,4,Roberto Moreno,Coloni Ford,1:19.780
2,4,Alain Prost,McLaren Honda,1:16.204
23,5,Pierluigi Martini,Minardi Ford,1:16.938
29,5,Michele Alboreto,Lola Lamborghini,1:19.869
6,6,Riccardo Patrese,Williams Renault,1:17.281
37,6,Jyrki Jarvilehto,Onyx Ford,1:20.880
21,7,Alex Caffi,Dallara Ford,1:17.661
18,7,Piercarlo Ghinzani,Osella Ford,1:21.021
33,8,Oscar Larrauri,Euro Brun Judd,1:21.326
5,8,Thierry Boutsen,Williams Renault,1:17.801
40,9,Gabriele Tarquini,AGS Ford,1:21.881
24,9,Luis Perez-Sala,Minardi Ford,1:17.844
17,10,Nicola Larini,Osella Ford,1:22.688
7,10,Martin Brundle,Brabham Judd,1:17.874
8,11,Stefano Modena,Brabham Judd,1:18.093
34,11,Bernd Schneider,Zakspeed Yamaha,1:23.920
35,12,Aguri Suzuki,Zakspeed Yamaha,1:24.116
32,13,Enrico Bertaggia,Coloni Ford,1:28.526
19,13,Alessandro Nannini,Benetton Ford,1:18.115
15,14,Mauricio Gugelmin,March Judd,1:18.124
20,16,Emanuele Pirro,Benetton Ford,1:18.328
3,18,Jonathan  Palmer,Tyrrell Ford,1:18.404
22,19,Andrea de Cesaris,Dallara Ford,1:18.442
11,20,Nelson Piquet,Lotus Judd,1:18.482
9,22,Derek Warwick,Arrows Ford,1:18.711
25,23,Rene Arnoux,Ligier Ford,1:18.767
16,24,Ivan Capelli,March Judd,1:18.785
12,25,Satoru Nakajima,Lotus Judd,1:19.165
10,26,Eddie  Cheever,Arrows Ford,1:19.247
4,27,Johnny Herbert,Tyrrell Ford,1:19.264
26,28,Olivier Grouillard,Ligier Ford,1:19.436
39,29,Pierre Henri Raphanel,Rial Ford,1:21.435
38,30,Christian Danner,Rial Ford,1:21.678
