,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:17.132
2,2,Alain Prost,McLaren Honda,+0.505s
28,3,Gerhard Berger,Ferrari,+0.936s
7,4,Martin Brundle,Brabham Judd,+0.940s
27,5,Nigel Mansell,Ferrari,+1.009s
6,6,Riccardo Patrese,Williams Renault,+1.143s
19,7,Alessandro Nannini,Benetton Ford,+1.223s
24,8,Luis Perez-Sala,Minardi Ford,+1.369s
23,9,Pierluigi Martini,Minardi Ford,+1.462s
21,10,Alex Caffi,Dallara Ford,+1.534s
16,11,Ivan Capelli,March Judd,+1.685s
8,12,Stefano Modena,Brabham Judd,+1.759s
3,13,Jonathan  Palmer,Tyrrell Ford,+1.774s
31,14,Roberto Moreno,Coloni Ford,+1.805s
30,15,Philippe Alliot,Lola Lamborghini,+1.893s
11,16,Nelson Piquet,Lotus Judd,+2.172s
5,17,Thierry Boutsen,Williams Renault,+2.334s
25,18,Rene Arnoux,Ligier Ford,+2.478s
36,19,Stefan Johansson,Onyx Ford,+2.513s
20,20,Emanuele Pirro,Benetton Ford,+2.839s
15,21,Mauricio Gugelmin,March Judd,+2.845s
10,22,Eddie  Cheever,Arrows Ford,+2.899s
12,23,Satoru Nakajima,Lotus Judd,+3.021s
26,24,Olivier Grouillard,Ligier Ford,+3.207s
4,25,Johnny Herbert,Tyrrell Ford,+3.236s
22,26,Andrea de Cesaris,Dallara Ford,+3.645s
9,27,Derek Warwick,Arrows Ford,+3.672s
29,28,Michele Alboreto,Lola Lamborghini,+4.507s
38,29,Christian Danner,Rial Ford,+5.262s
39,30,Pierre Henri Raphanel,Rial Ford,+7.604s
