,Position,Driver,Car,Time / Gap,Laps
1,1,Max Verstappen,Red Bull Racing RBPT,1:45.507,20
16,2,Charles Leclerc,Ferrari,+0.862s,21
4,3,Lando Norris,McLaren Mercedes,+1.082s,17
18,4,Lance Stroll,Aston Martin Aramco Mercedes,+1.128s,16
55,5,Carlos Sainz,Ferrari,+1.142s,20
44,6,Lewis Hamilton,Mercedes,+1.386s,18
14,7,Fernando Alonso,Alpine Renault,+1.468s,19
63,8,George Russell,Mercedes,+1.535s,22
3,9,Daniel Ricciardo,McLaren Mercedes,+1.748s,18
11,10,Sergio Perez,Red Bull Racing RBPT,+1.839s,15
23,11,Alexander Albon,Williams Mercedes,+2.013s,15
24,12,Guanyu Zhou,Alfa Romeo Ferrari,+2.110s,21
22,13,Yuki Tsunoda,AlphaTauri RBPT,+2.151s,16
10,14,Pierre Gasly,AlphaTauri RBPT,+2.275s,19
5,15,Sebastian Vettel,Aston Martin Aramco Mercedes,+2.360s,19
31,16,Esteban Ocon,Alpine Renault,+2.437s,21
20,17,Kevin Magnussen,Haas Ferrari,+2.701s,19
77,18,Valtteri Bottas,Alfa Romeo Ferrari,+2.912s,21
6,19,Nicholas Latifi,Williams Mercedes,+3.105s,14
47,20,Mick Schumacher,Haas Ferrari,+4.434s,23
