,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,29,1:28.004,236.975,14:47:25
6,2,Nico Rosberg,Mercedes,51,1:28.206,236.432,15:20:00
19,3,Felipe Massa,Williams Mercedes,46,1:28.342,236.068,15:12:55
26,4,Daniil Kvyat,STR Renault,51,1:28.486,235.684,15:20:58
77,5,Valtteri Bottas,Williams Mercedes,50,1:28.559,235.490,15:19:07
3,6,Daniel Ricciardo,Red Bull Racing Renault,53,1:28.588,235.413,15:23:45
7,7,Kimi Räikkönen,Ferrari,43,1:28.942,234.476,15:08:59
11,8,Sergio Perez,Force India Mercedes,35,1:29.107,234.042,14:56:55
25,9,Jean-Eric Vergne,STR Renault,39,1:29.121,234.005,15:03:09
1,10,Sebastian Vettel,Red Bull Racing Renault,34,1:29.141,233.952,14:55:23
22,11,Jenson Button,McLaren Mercedes,35,1:29.245,233.680,14:56:56
20,12,Kevin Magnussen,McLaren Mercedes,34,1:29.283,233.580,14:55:25
27,13,Nico Hulkenberg,Force India Mercedes,35,1:29.366,233.363,14:57:09
99,14,Adrian Sutil,Sauber Ferrari,46,1:29.375,233.340,15:14:10
21,15,Esteban Gutierrez ,Sauber Ferrari,40,1:29.449,233.147,15:05:27
14,16,Fernando Alonso,Ferrari,23,1:29.680,232.546,14:38:59
13,17,Pastor Maldonado,Lotus Renault,32,1:29.856,232.091,14:52:53
8,18,Romain Grosjean,Lotus Renault,38,1:30.083,231.506,15:02:25
9,19,Marcus Ericsson,Caterham Renault,47,1:30.280,231.001,15:17:06
17,20,Jules Bianchi,Marussia Ferrari,51,1:30.521,230.386,15:22:45
10,21,Kamui Kobayashi,Caterham Renault,35,1:30.758,229.784,14:58:01
4,22,Max Chilton,Marussia Ferrari,5,1:32.569,225.289,14:11:41
