,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:14.059,6
4,2,David Coulthard,McLaren Mercedes,1:14.860,11
2,3,Rubens Barrichello,Ferrari,1:14.953,11
5,4,Ralf Schumacher,Williams BMW,1:15.095,12
11,5,Jarno Trulli,Jordan Honda,1:15.394,10
3,6,Mika Hakkinen,McLaren Mercedes,1:15.411,11
16,7,Nick Heidfeld,Sauber Petronas,1:15.739,9
6,8,Juan Pablo Montoya,Williams BMW,1:15.881,11
17,9,Kimi Räikkönen,Sauber Petronas,1:15.906,12
10,10,Jacques Villeneuve,BAR Honda,1:16.212,11
9,11,Olivier Panis,BAR Honda,1:16.382,8
12,12,Jean Alesi,Jordan Honda,1:16.471,12
19,13,Pedro de la Rosa,Jaguar Cosworth,1:16.543,10
18,14,Eddie Irvine,Jaguar Cosworth,1:16.607,11
7,15,Giancarlo Fisichella,Benetton Renault,1:16.632,11
22,16,Heinz-Harald Frentzen,Prost Acer,1:17.196,12
8,17,Jenson Button,Benetton Renault,1:17.535,12
21,18,Fernando Alonso,Minardi European,1:17.624,11
23,19,Luciano Burti,Prost Acer,1:18.238,12
15,20,Enrique Bernoldi,Arrows Asiatech,1:18.258,11
14,21,Jos Verstappen,Arrows Asiatech,1:18.389,12
20,22,Tarso Marques,Minardi European,1:19.139,11
