,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:16.651,38
2,2,Rubens Barrichello,Ferrari,+0.083s,33
3,3,Mika Hakkinen,McLaren Mercedes,+0.138s,25
5,4,Ralf Schumacher,Williams BMW,+0.657s,40
18,5,Eddie Irvine,Jaguar Cosworth,+0.758s,31
12,6,Jean Alesi,Jordan Honda,+1.211s,20
7,7,Giancarlo Fisichella,Benetton Renault,+1.245s,33
16,8,Nick Heidfeld,Sauber Petronas,+1.277s,33
9,9,Olivier Panis,BAR Honda,+1.319s,39
4,10,David Coulthard,McLaren Mercedes,+1.531s,9
19,11,Pedro de la Rosa,Jaguar Cosworth,+1.544s,29
11,12,Jarno Trulli,Jordan Honda,+1.626s,41
6,13,Juan Pablo Montoya,Williams BMW,+1.873s,36
22,14,Heinz-Harald Frentzen,Prost Acer,+2.073s,32
17,15,Kimi Räikkönen,Sauber Petronas,+2.183s,29
10,16,Jacques Villeneuve,BAR Honda,+2.587s,32
8,17,Jenson Button,Benetton Renault,+2.612s,31
14,18,Jos Verstappen,Arrows Asiatech,+2.717s,39
15,19,Enrique Bernoldi,Arrows Asiatech,+2.815s,37
21,20,Fernando Alonso,Minardi European,+3.341s,35
23,21,Luciano Burti,Prost Acer,+3.964s,36
20,22,Tarso Marques,Minardi European,+4.330s,38
