,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,72,1:20.416
12,2,Ayrton Senna,,63,1:20.456
8,3,Andrea de Cesaris,Brabham BMW,65,1:20.917
27,4,Michele Alboreto,Ferrari,48,1:21.124
1,5,Alain Prost,McLaren TAG,47,1:21.381
5,6,Riccardo Patrese,Williams Honda,52,1:21.491
6,7,Nelson Piquet,Williams Honda,40,1:21.981
2,8,Stefan Johansson,McLaren TAG,38,1:22.232
19,9,Teo Fabi,Benetton Ford,44,1:22.246
20,10,Thierry Boutsen,Benetton Ford,45,1:22.769
3,11,Jonathan  Palmer,Tyrrell Ford,59,1:23.197
29,12,Yannick Dalmas,Lola Ford,55,1:23.207
16,13,Ivan Capelli,March Ford,55,1:23.296
18,14,Eddie  Cheever,Arrows Megatron,18,1:23.390
25,15,Rene Arnoux,Ligier Megatron,30,1:23.999
10,16,Christian Danner,Zakspeed,35,1:24.119
7,17,Stefano Modena,Brabham BMW,4,1:24.294
17,18,Derek Warwick,Arrows Megatron,18,1:24.478
14,19,Roberto Moreno,AGS Ford,62,1:24.488
30,20,Philippe Alliot,Lola Ford,39,1:24.834
11,21,Satoru Nakajima,Lotus Honda,18,1:24.926
26,22,Piercarlo Ghinzani,Ligier Megatron,24,1:25.196
9,23,Martin Brundle,Zakspeed,11,1:25.554
4,24,Philippe Streiff,Tyrrell Ford,6,1:26.823
23,25,Adrian Campos,Minardi Motori Moderni,35,1:27.676
