,Position,Driver,Car,Time
7,1,Jo Bonnier,BRM,1:36.000
8,2,Jack Brabham,Cooper Climax,1:36.000
11,3,Stirling Moss,Cooper Climax,1:36.200
1,4,Jean Behra,Ferrari,1:36.600
14,5,Graham Hill,Lotus Climax,1:36.700
6,6,Harry Schell,BRM,1:37.300
9,7,Masten Gregory,Cooper Climax,1:37.600
2,8,Tony Brooks,Ferrari,1:37.900
12,9,Innes Ireland,Lotus Climax,1:38.300
5,10,Carroll  Shelby ,Aston Martin,1:38.500
10,11,Maurice  Trintignant,Cooper Climax,1:38.700
3,12,Phil Hill,Ferrari,1:39.200
4,13,Roy Salvadori,Aston Martin,1:39.700
15,14,Carel Godin de Beaufort ,Porsche,1:44.500
16,15,Cliff Allison,Ferrari,
