,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:56.671,1:56.824,,16
44,2,Lewis Hamilton,Mercedes,1:56.871,1:56.929,,14
3,3,Daniel Ricciardo,Red Bull Racing Renault,1:56.495,1:57.969,,16
26,4,Daniil Kvyat,Red Bull Racing Renault,1:57.640,1:58.434,,16
5,5,Sebastian Vettel,Ferrari,2:00.950,1:58.596,,13
11,6,Sergio Perez,Force India Mercedes,1:59.284,1:59.210,,16
27,7,Nico Hulkenberg,Force India Mercedes,1:58.325,1:59.333,,16
7,8,Kimi Räikkönen,Ferrari,1:58.198,1:59.703,,15
19,9,Felipe Massa,Williams Mercedes,2:00.902,1:59.999,,17
33,10,Max Verstappen,STR Renault,1:58.689,2:00.199,,17
14,11,Fernando Alonso,McLaren Honda,1:59.704,2:00.265,,16
77,12,Valtteri Bottas,Williams Mercedes,1:59.569,2:00.334,,16
8,13,Romain Grosjean,Lotus Mercedes,2:00.236,2:00.595,,17
22,14,Jenson Button,McLaren Honda,2:00.261,2:01.193,,16
13,15,Pastor Maldonado,Lotus Mercedes,2:00.844,2:01.604,,17
9,16,Marcus Ericsson,Sauber Ferrari,2:02.212,,,9
12,17,Felipe Nasr,Sauber Ferrari,2:03.194,,,9
53,18,Alexander Rossi,Marussia Ferrari,2:04.176,,,9
28,19,Will Stevens,Marussia Ferrari,2:04.526,,,9
55,NC,Carlos Sainz,STR Renault,2:07.304,,,3
