,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:59.517,9
5,2,Sebastian Vettel,Ferrari,+0.863s,9
27,3,Nico Hulkenberg,Force India Mercedes,+0.979s,12
77,4,Valtteri Bottas,Williams Mercedes,+1.006s,14
55,5,Carlos Sainz,STR Renault,+1.170s,11
26,6,Daniil Kvyat,Red Bull Racing Renault,+1.177s,12
7,7,Kimi Räikkönen,Ferrari,+1.268s,9
3,8,Daniel Ricciardo,Red Bull Racing Renault,+1.491s,12
6,9,Nico Rosberg,Mercedes,+1.957s,7
19,10,Felipe Massa,Williams Mercedes,+2.682s,13
11,11,Sergio Perez,Force India Mercedes,+3.143s,12
8,12,Romain Grosjean,Lotus Mercedes,+3.308s,10
13,13,Pastor Maldonado,Lotus Mercedes,+3.404s,11
14,14,Fernando Alonso,McLaren Honda,+3.858s,9
9,15,Marcus Ericsson,Sauber Ferrari,+4.882s,13
22,16,Jenson Button,McLaren Honda,+5.766s,7
28,17,Will Stevens,Marussia Ferrari,+5.861s,10
53,18,Alexander Rossi,Marussia Ferrari,+6.090s,10
12,19,Felipe Nasr,Sauber Ferrari,+7.275s,10
33,20,Max Verstappen,STR Renault,+10.477s,7
