,Position,Driver,Car,Time / Gap,Laps
7,1,David Coulthard,McLaren Mercedes,1:11.655,37
8,2,Mika Hakkinen,McLaren Mercedes,+0.164s,36
4,3,Eddie Irvine,Ferrari,+0.914s,40
2,4,Heinz-Harald Frentzen,Williams Mecachrome,+1.018s,33
3,5,Michael Schumacher,Ferrari,+1.035s,32
14,6,Jean Alesi,Sauber Petronas,+1.134s,37
9,7,Damon Hill,Jordan Mugen Honda,+1.355s,35
5,8,Giancarlo Fisichella,Benetton Playlife,+1.419s,37
10,9,Ralf Schumacher,Jordan Mugen Honda,+1.604s,41
1,10,Jacques Villeneuve,Williams Mecachrome,+1.699s,35
12,11,Jarno Trulli,Prost Peugeot,+1.741s,33
15,12,Johnny Herbert,Sauber Petronas,+1.766s,35
6,13,Alexander Wurz,Benetton Playlife,+2.016s,27
21,14,Toranosuke Takagi,Tyrrell Ford,+2.075s,21
17,15,Mika Salo,Arrows,+2.147s,34
18,16,Rubens Barrichello,Stewart Ford,+2.232s,22
11,17,Olivier Panis,Prost Peugeot,+2.311s,33
16,18,Pedro Diniz,Arrows,+2.344s,34
19,19,Jos Verstappen,Stewart Ford,+2.415s,29
20,20,Ricardo Rosset,Tyrrell Ford,+2.696s,36
23,21,Esteban Tuero,Minardi Ford,+3.083s,39
22,22,Shinji Nakano,Minardi Ford,+3.251s,34
