,Position,Driver,Car,Laps,Time,Points
5,1,Sebastian Vettel,Ferrari,58,1:29:33.283,25
44,2,Lewis Hamilton,Mercedes,58,+5.036s,18
7,3,Kimi Räikkönen,Ferrari,58,+6.309s,15
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,58,+7.069s,12
14,5,Fernando Alonso,McLaren Renault,58,+27.886s,10
33,6,Max Verstappen,Red Bull Racing TAG Heuer,58,+28.945s,8
27,7,Nico Hulkenberg,Renault,58,+32.671s,6
77,8,Valtteri Bottas,Mercedes,58,+34.339s,4
2,9,Stoffel Vandoorne,McLaren Renault,58,+34.921s,2
55,10,Carlos Sainz,Renault,58,+45.722s,1
11,11,Sergio Perez,Force India Mercedes,58,+46.817s,0
31,12,Esteban Ocon,Force India Mercedes,58,+60.278s,0
16,13,Charles Leclerc,Sauber Ferrari,58,+75.759s,0
18,14,Lance Stroll,Williams Mercedes,58,+78.288s,0
28,15,Brendon Hartley,Scuderia Toro Rosso Honda,57,+1 lap,0
8,NC,Romain Grosjean,Haas Ferrari,24,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,22,DNF,0
10,NC,Pierre Gasly,Scuderia Toro Rosso Honda,13,DNF,0
9,NC,Marcus Ericsson,Sauber Ferrari,5,DNF,0
35,NC,Sergey Sirotkin,Williams Mercedes,4,DNF,0
