,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
6,1,Nico Rosberg,Mercedes,49,1:37.020,200.816,19:30:52
44,2,Lewis Hamilton,Mercedes,49,1:37.108,200.634,19:30:51
27,3,Nico Hulkenberg,Force India Mercedes,37,1:38.785,197.228,19:07:47
3,4,Daniel Ricciardo,Red Bull Racing Renault,38,1:39.269,196.266,19:09:43
19,5,Felipe Massa,Williams Mercedes,40,1:39.272,196.260,19:13:03
1,6,Sebastian Vettel,Red Bull Racing Renault,18,1:39.312,196.181,18:35:30
11,7,Sergio Perez,Force India Mercedes,36,1:39.320,196.165,19:06:04
7,8,Kimi Räikkönen,Ferrari,35,1:39.438,195.933,19:04:44
8,9,Romain Grosjean,Lotus Renault,39,1:39.443,195.923,19:12:00
22,10,Jenson Button,McLaren Mercedes,37,1:39.565,195.683,19:07:50
13,11,Pastor Maldonado,Lotus Renault,52,1:39.666,195.484,19:36:40
14,12,Fernando Alonso,Ferrari,53,1:39.732,195.355,19:37:47
77,13,Valtteri Bottas,Williams Mercedes,50,1:39.762,195.296,19:32:45
20,14,Kevin Magnussen,McLaren Mercedes,40,1:40.108,194.621,19:13:30
26,15,Daniil Kvyat,STR Renault,12,1:40.160,194.520,18:25:16
21,16,Esteban Gutierrez ,Sauber Ferrari,32,1:40.698,193.481,19:00:00
9,17,Marcus Ericsson,Caterham Renault,28,1:41.134,192.647,18:53:44
10,18,Kamui Kobayashi,Caterham Renault,17,1:41.246,192.434,18:34:18
25,19,Jean-Eric Vergne,STR Renault,16,1:41.650,191.669,18:33:36
99,20,Adrian Sutil,Sauber Ferrari,9,1:41.791,191.403,18:20:25
4,21,Max Chilton,Marussia Ferrari,48,1:41.825,191.340,19:29:31
17,22,Jules Bianchi,Marussia Ferrari,44,1:42.175,190.684,19:24:22
