,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,61,1:20.989
8,2,Ayrton Senna,McLaren Ford,61,1:21.717
0,3,Damon Hill,Williams Renault,40,1:22.840
2,4,Alain Prost,Williams Renault,38,1:22.923
7,5,Michael Andretti,McLaren Ford,59,1:23.791
14,6,Rubens Barrichello,Jordan Hart,54,1:24.085
6,7,Riccardo Patrese,Benetton Ford,33,1:24.785
29,8,Karl Wendlinger,Sauber,36,1:24.933
28,9,Gerhard Berger,Ferrari,51,1:25.065
11,10,Alessandro Zanardi,Lotus Ford,59,1:25.246
26,11,Mark Blundell,Ligier Renault,58,1:25.543
27,12,Jean Alesi,Ferrari,39,1:25.729
9,13,Derek Warwick,Footwork Mugen Honda,59,1:25.795
23,14,Christian Fittipaldi,Minardi Ford,55,1:25.816
30,15,Jyrki Jarvilehto,Sauber,47,1:25.824
15,16,Thierry Boutsen,Jordan Hart,48,1:25.824
20,17,Erik Comas,Larrousse Lamborghini,49,1:26.381
10,18,Aguri Suzuki,Footwork Mugen Honda,58,1:27.006
4,19,Andrea de Cesaris,Tyrrell Yamaha,42,1:27.268
19,20,Philippe Alliot,Larrousse Lamborghini,23,1:27.453
24,21,Fabrizio Barbazza,Minardi Ford,33,1:27.899
22,22,Luca Badoer,Lola Ferrari,41,1:28.633
3,23,Ukyo Katayama,Tyrrell Yamaha,11,1:29.569
25,24,Martin Brundle,Ligier Renault,7,1:29.805
12,25,Johnny Herbert,Lotus Ford,2,1:38.480
