,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:19.182
0,2,Damon Hill,Williams Renault,+0.263s
8,3,Ayrton Senna,McLaren Ford,+1.358s
7,4,Michael Andretti,McLaren Ford,+2.450s
6,5,Riccardo Patrese,Benetton Ford,+3.463s
5,6,Michael Schumacher,Benetton Ford,+3.577s
27,7,Jean Alesi,Ferrari,+5.280s
10,8,Aguri Suzuki,Footwork Mugen Honda,+5.374s
26,9,Mark Blundell,Ligier Renault,+5.380s
23,10,Christian Fittipaldi,Minardi Ford,+5.538s
11,11,Alessandro Zanardi,Lotus Ford,+5.551s
30,12,Jyrki Jarvilehto,Sauber,+5.555s
29,13,Karl Wendlinger,Sauber,+5.805s
20,14,Erik Comas,Larrousse Lamborghini,+6.009s
9,15,Derek Warwick,Footwork Mugen Honda,+6.232s
14,16,Rubens Barrichello,Jordan Hart,+6.257s
12,17,Johnny Herbert,Lotus Ford,+6.268s
15,18,Thierry Boutsen,Jordan Hart,+6.355s
25,19,Martin Brundle,Ligier Renault,+6.464s
22,20,Luca Badoer,Lola Ferrari,+6.897s
19,21,Philippe Alliot,Larrousse Lamborghini,+7.117s
24,22,Fabrizio Barbazza,Minardi Ford,+7.405s
3,23,Ukyo Katayama,Tyrrell Yamaha,+7.757s
21,24,Michele Alboreto,Lola Ferrari,+7.993s
28,25,Gerhard Berger,Ferrari,+8.519s
4,26,Andrea de Cesaris,Tyrrell Yamaha,+34.581s
