,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
3,1,Daniel Ricciardo,Red Bull Racing Renault,52,1:50.041,165.701,21:48:20
5,2,Sebastian Vettel,Ferrari,53,1:50.069,165.659,21:50:07
13,3,Pastor Maldonado,Lotus Mercedes,57,1:50.175,165.500,21:59:09
33,4,Max Verstappen,STR Renault,43,1:50.298,165.315,21:32:00
7,5,Kimi Räikkönen,Ferrari,48,1:50.341,165.251,21:41:03
55,6,Carlos Sainz,STR Renault,43,1:50.401,165.161,21:32:02
6,7,Nico Rosberg,Mercedes,50,1:50.934,164.368,21:44:49
26,8,Daniil Kvyat,Red Bull Racing Renault,36,1:51.109,164.109,21:16:17
22,9,Jenson Button,McLaren Honda,43,1:51.167,164.023,21:32:35
77,10,Valtteri Bottas,Williams Mercedes,49,1:51.342,163.765,21:43:01
9,11,Marcus Ericsson,Sauber Ferrari,30,1:51.594,163.395,21:05:22
11,12,Sergio Perez,Force India Mercedes,44,1:51.970,162.847,21:33:46
8,13,Romain Grosjean,Lotus Mercedes,28,1:52.353,162.292,21:01:24
44,14,Lewis Hamilton,Mercedes,24,1:52.505,162.072,20:53:11
12,15,Felipe Nasr,Sauber Ferrari,36,1:52.566,161.984,21:16:37
14,16,Fernando Alonso,McLaren Honda,27,1:53.325,160.900,20:59:07
19,17,Felipe Massa,Williams Mercedes,19,1:53.666,160.417,20:43:56
27,18,Nico Hulkenberg,Force India Mercedes,6,1:53.868,160.132,20:15:06
53,19,Alexander Rossi,Marussia Ferrari,43,1:55.312,158.127,21:34:06
28,20,Will Stevens,Marussia Ferrari,45,1:55.890,157.338,21:38:01
