,Position,Driver,Car,Time / Gap,Laps
4,1,Rubens Barrichello,Ferrari,1:25.057,26
3,2,Michael Schumacher,Ferrari,+0.060s,36
6,3,Jarno Trulli,Jordan Mugen Honda,+0.333s,35
1,4,Mika Hakkinen,McLaren Mercedes,+0.496s,22
2,5,David Coulthard,McLaren Mercedes,+0.739s,18
7,6,Eddie Irvine,Jaguar Cosworth,+0.850s,31
18,7,Pedro de la Rosa,Arrows Supertec,+0.855s,31
16,8,Pedro Diniz,Sauber Petronas,+0.924s,28
19,9,Jos Verstappen,Arrows Supertec,+0.963s,26
17,10,Mika Salo,Sauber Petronas,+1.236s,32
10,11,Jenson Button,Williams BMW,+1.395s,29
8,12,Johnny Herbert,Jaguar Cosworth,+1.577s,33
20,13,Marc Gene,Minardi Fondmetal,+1.581s,34
5,14,Heinz-Harald Frentzen,Jordan Mugen Honda,+1.706s,26
11,15,Giancarlo Fisichella,Benetton Playlife,+1.752s,35
22,16,Jacques Villeneuve,BAR Honda,+1.849s,37
23,17,Ricardo Zonta,BAR Honda,+2.013s,37
12,18,Alexander Wurz,Benetton Playlife,+2.036s,15
15,19,Nick Heidfeld,Prost Peugeot,+2.078s,44
21,20,Gaston Mazzacane,Minardi Fondmetal,+2.411s,29
9,21,Ralf Schumacher,Williams BMW,+2.795s,33
14,22,Jean Alesi,Prost Peugeot,+2.847s,23
