,Position,Driver,Car,Time
3,1,Michael Schumacher,Ferrari,1:23.770
4,2,Rubens Barrichello,Ferrari,1:23.797
1,3,Mika Hakkinen,McLaren Mercedes,1:23.967
22,4,Jacques Villeneuve,BAR Honda,1:24.238
2,5,David Coulthard,McLaren Mercedes,1:24.290
6,6,Jarno Trulli,Jordan Mugen Honda,1:24.477
9,7,Ralf Schumacher,Williams BMW,1:24.516
5,8,Heinz-Harald Frentzen,Jordan Mugen Honda,1:24.786
11,9,Giancarlo Fisichella,Benetton Playlife,1:24.789
18,10,Pedro de la Rosa,Arrows Supertec,1:24.814
19,11,Jos Verstappen,Arrows Supertec,1:24.820
10,12,Jenson Button,Williams BMW,1:24.907
12,13,Alexander Wurz,Benetton Playlife,1:25.150
7,14,Eddie Irvine,Jaguar Cosworth,1:25.251
17,15,Mika Salo,Sauber Petronas,1:25.322
16,16,Pedro Diniz,Sauber Petronas,1:25.324
23,17,Ricardo Zonta,BAR Honda,1:25.337
8,18,Johnny Herbert,Jaguar Cosworth,1:25.388
14,19,Jean Alesi,Prost Peugeot,1:25.558
15,20,Nick Heidfeld,Prost Peugeot,1:25.625
20,21,Marc Gene,Minardi Fondmetal,1:26.336
21,22,Gaston Mazzacane,Minardi Fondmetal,1:27.360
