,Position,Driver,Car,Q1,Q2,Q3,Laps
2,1,Felipe Massa,Ferrari,1:11.830,1:11.875,1:12.368,17
11,2,Jarno Trulli,Toyota,1:12.226,1:12.107,1:12.737,15
1,3,Kimi Räikkönen,Ferrari,1:12.083,1:11.950,1:12.825,19
22,4,Lewis Hamilton,McLaren Mercedes,1:12.213,1:11.856,1:12.830,14
23,5,Heikki Kovalainen,McLaren Mercedes,1:12.366,1:11.768,1:12.917,17
5,6,Fernando Alonso,Renault,1:12.214,1:12.090,1:12.967,18
15,7,Sebastian Vettel,STR Ferrari,1:12.390,1:11.845,1:13.082,20
3,8,Nick Heidfeld,Sauber BMW,1:12.371,1:12.026,1:13.297,18
14,9,Sebastien Bourdais,STR Ferrari,1:12.498,1:12.075,1:14.105,16
12,10,Timo Glock,Toyota,1:12.223,1:11.909,1:14.230,24
6,11,Nelson Piquet,Renault,1:12.348,1:12.137,,13
10,12,Mark Webber,Red Bull Renault,1:12.409,1:12.289,,13
4,13,Robert Kubica,Sauber BMW,1:12.381,1:12.300,,13
9,14,David Coulthard,Red Bull Renault,1:12.690,1:12.717,,16
17,15,Rubens Barrichello,Honda,1:12.548,1:13.139,,14
8,16,Kazuki Nakajima,Williams Toyota,1:12.800,,,9
16,17,Jenson Button,Honda,1:12.810,,,9
7,18,Nico Rosberg,Williams Toyota,1:13.002,,,8
21,19,Giancarlo Fisichella,Force India Ferrari,1:13.426,,,9
20,20,Adrian Sutil,Force India Ferrari,1:13.508,,,9
