,Position,Driver,Car,Time,Laps
6,1,Juan Pablo Montoya,Williams BMW,1:16.676,12
3,2,David Coulthard,McLaren Mercedes,1:17.068,11
1,3,Michael Schumacher,Ferrari,1:17.118,12
5,4,Ralf Schumacher,Williams BMW,1:17.274,12
2,5,Rubens Barrichello,Ferrari,1:17.357,11
4,6,Kimi Räikkönen,McLaren Mercedes,1:17.660,11
14,7,Jarno Trulli,Renault,1:17.710,12
15,8,Jenson Button,Renault,1:18.132,12
24,9,Mika Salo,Toyota,1:18.234,12
25,10,Allan McNish,Toyota,1:18.292,12
9,11,Giancarlo Fisichella,Jordan Honda,1:18.342,12
20,12,Heinz-Harald Frentzen,Arrows Cosworth,1:18.607,12
8,13,Felipe Massa,Sauber Petronas,1:19.006,12
11,14,Jacques Villeneuve,BAR Honda,1:19.252,11
21,15,Enrique Bernoldi,Arrows Cosworth,1:19.412,12
10,16,Takuma Sato,Jordan Honda,1:19.461,11
7,17,Nick Heidfeld,Sauber Petronas,1:19.500,12
12,18,Olivier Panis,BAR Honda,1:19.569,12
23,19,Mark Webber,Minardi Asiatech,1:19.674,8
17,20,Pedro de la Rosa,Jaguar Cosworth,1:19.796,12
16,21,Eddie Irvine,Jaguar Cosworth,1:20.139,11
22,22,Alex Yoong,Minardi Asiatech,1:21.599,9
