,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,68,1:18.023,155.492
1,2,Michael Schumacher,Ferrari,51,1:18.652,154.249
9,3,Giancarlo Fisichella,Jordan Honda,70,1:19.120,153.336
3,4,David Coulthard,McLaren Mercedes,74,1:19.360,152.872
24,5,Mika Salo,Toyota,62,1:19.479,152.644
5,6,Ralf Schumacher,Williams BMW,61,1:19.489,152.624
20,7,Heinz-Harald Frentzen,Arrows Cosworth,76,1:19.601,152.410
23,8,Mark Webber,Minardi Asiatech,69,1:19.968,151.710
21,9,Enrique Bernoldi,Arrows Cosworth,73,1:20.117,151.428
6,10,Juan Pablo Montoya,Williams BMW,36,1:20.346,150.996
4,11,Kimi Räikkönen,McLaren Mercedes,39,1:20.426,150.846
14,12,Jarno Trulli,Renault,46,1:20.445,150.811
15,13,Jenson Button,Renault,41,1:20.720,150.297
7,14,Nick Heidfeld,Sauber Petronas,64,1:20.927,149.912
17,15,Pedro de la Rosa,Jaguar Cosworth,62,1:20.953,149.864
8,16,Felipe Massa,Sauber Petronas,55,1:21.057,149.672
16,17,Eddie Irvine,Jaguar Cosworth,63,1:21.059,149.668
12,18,Olivier Panis,BAR Honda,32,1:21.916,148.102
11,19,Jacques Villeneuve,BAR Honda,34,1:22.037,147.884
10,20,Takuma Sato,Jordan Honda,18,1:22.148,147.684
25,21,Allan McNish,Toyota,15,1:22.250,147.501
22,22,Alex Yoong,Minardi Asiatech,25,1:22.784,146.550
