,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
6,1,Nico Rosberg,Mercedes,34,1:52.416,224.295,15:13:38
44,2,Lewis Hamilton,Mercedes,34,1:52.504,224.120,15:13:33
26,3,Daniil Kvyat,Red Bull Racing Renault,29,1:53.032,223.073,15:04:41
33,4,Max Verstappen,STR Renault,36,1:53.276,222.592,15:18:12
14,5,Fernando Alonso,McLaren Honda,34,1:53.692,221.778,15:15:19
12,6,Felipe Nasr,Sauber Ferrari,29,1:53.991,221.196,15:05:20
9,7,Marcus Ericsson,Sauber Ferrari,30,1:54.022,221.136,15:07:11
19,8,Felipe Massa,Williams Mercedes,23,1:54.093,220.998,14:52:59
7,9,Kimi Räikkönen,Ferrari,30,1:54.517,220.180,15:06:26
77,10,Valtteri Bottas,Williams Mercedes,23,1:54.646,219.932,14:53:12
55,11,Carlos Sainz,STR Renault,25,1:54.680,219.867,15:01:15
8,12,Romain Grosjean,Lotus Mercedes,37,1:54.779,219.677,15:19:40
11,13,Sergio Perez,Force India Mercedes,29,1:54.796,219.645,15:04:27
5,14,Sebastian Vettel,Ferrari,29,1:55.316,218.654,15:04:15
22,15,Jenson Button,McLaren Honda,38,1:55.533,218.244,15:23:48
3,16,Daniel Ricciardo,Red Bull Racing Renault,2,1:56.263,216.873,14:10:55
28,17,Will Stevens,Marussia Ferrari,33,1:58.150,213.410,15:14:36
98,18,Roberto Merhi,Marussia Ferrari,32,1:58.174,213.366,15:12:29
