,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:48.908,1:48.024,1:47.197,16
6,2,Nico Rosberg,Mercedes,1:48.923,1:47.955,1:47.655,17
77,3,Valtteri Bottas,Williams Mercedes,1:49.026,1:49.044,1:48.537,19
8,4,Romain Grosjean,Lotus Mercedes,1:49.353,1:48.981,1:48.561,17
11,5,Sergio Perez,Force India Mercedes,1:49.006,1:48.792,1:48.599,16
3,6,Daniel Ricciardo,Red Bull Racing Renault,1:49.664,1:49.042,1:48.639,17
19,7,Felipe Massa,Williams Mercedes,1:49.688,1:48.806,1:48.685,15
13,8,Pastor Maldonado,Lotus Mercedes,1:49.568,1:48.956,1:48.754,17
5,9,Sebastian Vettel,Ferrari,1:49.264,1:48.761,1:48.825,17
55,10,Carlos Sainz,STR Renault,1:49.109,1:49.065,1:49.771,12
27,11,Nico Hulkenberg,Force India Mercedes,1:49.499,1:49.121,,12
26,12,Daniil Kvyat,Red Bull Racing Renault,1:49.469,1:49.228,,11
9,13,Marcus Ericsson,Sauber Ferrari,1:49.523,1:49.586,,12
7,14,Kimi Räikkönen,Ferrari,1:49.288,DNF,,8
33,15,Max Verstappen,STR Renault,1:49.831,DNF,,10
12,16,Felipe Nasr,Sauber Ferrari,1:49.952,,,6
22,17,Jenson Button,McLaren Honda,1:50.978,,,6
14,18,Fernando Alonso,McLaren Honda,1:51.420,,,6
28,19,Will Stevens,Marussia Ferrari,1:52.948,,,6
98,20,Roberto Merhi,Marussia Ferrari,1:53.099,,,7
