,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:43.593
5,2,Thierry Boutsen,Williams Renault,+0.890s
27,3,Nigel Mansell,Ferrari,+0.998s
19,4,Alessandro Nannini,Benetton Ford,+1.401s
28,5,Gerhard Berger,Ferrari,+2.502s
1,6,Ayrton Senna,McLaren Honda,+2.696s
11,7,Nelson Piquet,Lotus Judd,+3.483s
12,8,Satoru Nakajima,Lotus Judd,+3.714s
4,9,Jean Alesi,Tyrrell Ford,+3.981s
8,10,Stefano Modena,Brabham Judd,+3.983s
23,11,Pierluigi Martini,Minardi Ford,+4.051s
21,12,Alex Caffi,Dallara Ford,+4.403s
7,13,Martin Brundle,Brabham Judd,+4.550s
15,14,Mauricio Gugelmin,March Judd,+4.684s
26,15,Olivier Grouillard,Ligier Ford,+4.903s
10,16,Eddie  Cheever,Arrows Ford,+5.020s
20,17,Emanuele Pirro,Benetton Ford,+5.103s
6,18,Riccardo Patrese,Williams Renault,+5.119s
30,19,Philippe Alliot,Lola Lamborghini,+5.261s
29,20,Michele Alboreto,Lola Lamborghini,+5.440s
25,21,Rene Arnoux,Ligier Ford,+5.663s
36,22,Stefan Johansson,Onyx Ford,+5.733s
22,23,Andrea de Cesaris,Dallara Ford,+5.890s
9,24,Derek Warwick,Arrows Ford,+6.192s
16,25,Ivan Capelli,March Judd,+6.241s
24,26,Luis Perez-Sala,Minardi Ford,+6.763s
3,27,Jonathan  Palmer,Tyrrell Ford,+7.310s
39,28,Volker Weidler,Rial Ford,+7.313s
37,29,Bertrand Gachot,Onyx Ford,+7.455s
38,30,Christian Danner,Rial Ford,+8.439s
