,Position,Driver,Car,Lap,Time
1,1,Ayrton Senna,McLaren Honda,43,1:45.884
2,2,Alain Prost,McLaren Honda,42,1:45.977
27,3,Nigel Mansell,Ferrari,21,1:48.722
28,4,Gerhard Berger,Ferrari,10,1:48.931
20,5,Emanuele Pirro,Benetton Ford,25,1:49.005
12,6,Satoru Nakajima,Lotus Judd,33,1:49.311
19,7,Alessandro Nannini,Benetton Ford,4,1:49.665
6,8,Riccardo Patrese,Williams Renault,20,1:49.910
11,9,Nelson Piquet,Lotus Judd,36,1:49.917
10,10,Eddie  Cheever,Arrows Ford,34,1:50.216
15,11,Mauricio Gugelmin,March Judd,19,1:50.493
23,12,Pierluigi Martini,Minardi Ford,33,1:50.676
4,13,Jean Alesi,Tyrrell Ford,30,1:50.817
9,14,Derek Warwick,Arrows Ford,34,1:50.899
7,15,Martin Brundle,Brabham Judd,43,1:51.012
5,16,Thierry Boutsen,Williams Renault,4,1:51.168
16,17,Ivan Capelli,March Judd,30,1:51.362
22,18,Andrea de Cesaris,Dallara Ford,31,1:51.495
8,19,Stefano Modena,Brabham Judd,15,1:52.562
30,20,Philippe Alliot,Lola Lamborghini,19,1:52.638
3,21,Jonathan  Palmer,Tyrrell Ford,9,1:52.888
21,22,Alex Caffi,Dallara Ford,2,1:53.417
36,23,Stefan Johansson,Onyx Ford,7,1:53.686
25,24,Rene Arnoux,Ligier Ford,7,1:53.907
29,25,Michele Alboreto,Lola Lamborghini,1,2:10.370
