,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:20.447,12
3,2,Mika Hakkinen,McLaren Mercedes,1:20.529,12
4,3,David Coulthard,McLaren Mercedes,1:20.927,12
12,4,Jarno Trulli,Jordan Honda,1:20.930,10
11,5,Heinz-Harald Frentzen,Jordan Honda,1:21.217,12
2,6,Rubens Barrichello,Ferrari,1:21.715,12
17,7,Kimi Räikkönen,Sauber Petronas,1:22.023,12
6,8,Juan Pablo Montoya,Williams BMW,1:22.219,9
16,9,Nick Heidfeld,Sauber Petronas,1:22.223,11
5,10,Ralf Schumacher,Williams BMW,1:22.283,9
9,11,Olivier Panis,BAR Honda,1:22.316,12
10,12,Jacques Villeneuve,BAR Honda,1:22.916,11
19,13,Pedro de la Rosa,Jaguar Cosworth,1:23.273,12
22,14,Jean Alesi,Prost Acer,1:23.392,12
18,15,Eddie Irvine,Jaguar Cosworth,1:23.439,11
23,16,Luciano Burti,Prost Acer,1:23.735,12
14,17,Jos Verstappen,Arrows Asiatech,1:24.067,12
8,18,Jenson Button,Benetton Renault,1:24.123,12
7,19,Giancarlo Fisichella,Benetton Renault,1:24.275,12
15,20,Enrique Bernoldi,Arrows Asiatech,1:24.606,10
21,21,Fernando Alonso,Minardi European,1:24.792,12
20,NC,Tarso Marques,Minardi European,1:26.506,12
