,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:17.301,28
77,2,Valtteri Bottas,Mercedes,+0.424s,31
44,3,Lewis Hamilton,Mercedes,+0.509s,26
11,4,Sergio Perez,Red Bull Racing Honda,+0.570s,26
55,5,Carlos Sainz,Ferrari,+1.017s,29
10,6,Pierre Gasly,AlphaTauri Honda,+1.128s,29
16,7,Charles Leclerc,Ferrari,+1.304s,28
22,8,Yuki Tsunoda,AlphaTauri Honda,+1.343s,31
5,9,Sebastian Vettel,Aston Martin Mercedes,+1.380s,32
14,10,Fernando Alonso,Alpine Renault,+1.431s,27
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.540s,25
4,12,Lando Norris,McLaren Mercedes,+1.678s,27
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.926s,31
31,14,Esteban Ocon,Alpine Renault,+2.130s,37
3,15,Daniel Ricciardo,McLaren Mercedes,+2.220s,7
47,16,Mick Schumacher,Haas Ferrari,+2.319s,30
18,17,Lance Stroll,Aston Martin Mercedes,+2.429s,36
6,18,Nicholas Latifi,Williams Mercedes,+3.519s,17
9,19,Nikita Mazepin,Haas Ferrari,+4.280s,28
63,20,George Russell,Williams Mercedes,,2
