,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:24.066
2,2,Gerhard Berger,McLaren Honda,+0.092s
1,3,Ayrton Senna,McLaren Honda,+0.148s
27,4,Alain Prost,Ferrari,+0.215s
4,5,Stefano Modena,Tyrrell Honda,+0.851s
32,6,Bertrand Gachot,Jordan Ford,+0.908s
5,7,Nigel Mansell,Williams Renault,+1.114s
19,8,Roberto Moreno,Benetton Ford,+1.283s
28,9,Jean Alesi,Ferrari,+1.431s
7,10,Martin Brundle,Brabham Yamaha,+1.493s
16,11,Ivan Capelli,Leyton House Ilmor,+1.648s
29,12,Eric Bernard,Lola Ford,+1.684s
20,13,Nelson Piquet,Benetton Ford,+1.730s
22,14,Jyrki Jarvilehto,Dallara Judd,+1.793s
34,15,Nicola Larini,Lambo Lamborghini,+1.995s
3,16,Satoru Nakajima,Tyrrell Honda,+2.447s
17,17,Gabriele Tarquini,AGS Ford,+3.184s
11,18,Mika Hakkinen,Lotus Judd,+3.254s
8,19,Mark Blundell,Brabham Yamaha,+3.487s
21,20,Emanuele Pirro,Dallara Judd,+3.549s
10,21,Alex Caffi,Footwork Porsche,+3.567s
26,22,Erik Comas,Ligier Lamborghini,+3.593s
24,23,Gianni Morbidelli,Minardi Ferrari,+3.884s
15,24,Mauricio Gugelmin,Leyton House Ilmor,+3.903s
23,25,Pierluigi Martini,Minardi Ferrari,+3.923s
9,26,Michele Alboreto,Footwork Porsche,+4.550s
25,27,Thierry Boutsen,Ligier Lamborghini,+4.931s
18,28,Stefan Johansson,AGS Ford,+5.872s
12,29,Julian Bailey,Lotus Judd,+6.238s
30,30,Aguri Suzuki,Lola Ford,+8.236s
