,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:23.525
27,2,Alain Prost,Ferrari,+0.967s
5,3,Nigel Mansell,Williams Renault,+1.525s
28,4,Jean Alesi,Ferrari,+1.753s
19,5,Roberto Moreno,Benetton Ford,+1.889s
20,6,Nelson Piquet,Benetton Ford,+2.170s
4,7,Stefano Modena,Tyrrell Honda,+2.211s
6,8,Riccardo Patrese,Williams Renault,+2.357s
2,9,Gerhard Berger,McLaren Honda,+2.441s
21,10,Emanuele Pirro,Dallara Judd,+2.547s
22,11,Jyrki Jarvilehto,Dallara Judd,+3.167s
3,12,Satoru Nakajima,Tyrrell Honda,+3.342s
29,13,Eric Bernard,Lola Ford,+3.760s
32,14,Bertrand Gachot,Jordan Ford,+3.862s
23,15,Pierluigi Martini,Minardi Ferrari,+4.168s
7,16,Martin Brundle,Brabham Yamaha,+4.748s
11,17,Mika Hakkinen,Lotus Judd,+4.869s
8,18,Mark Blundell,Brabham Yamaha,+5.516s
17,19,Gabriele Tarquini,AGS Ford,+5.750s
18,20,Stefan Johansson,AGS Ford,+5.857s
34,21,Nicola Larini,Lambo Lamborghini,+5.859s
30,22,Aguri Suzuki,Lola Ford,+6.057s
9,23,Michele Alboreto,Footwork Porsche,+6.364s
10,24,Alex Caffi,Footwork Porsche,+6.572s
25,25,Thierry Boutsen,Ligier Lamborghini,+6.752s
15,26,Mauricio Gugelmin,Leyton House Ilmor,+7.121s
26,27,Erik Comas,Ligier Lamborghini,+8.256s
24,28,Gianni Morbidelli,Minardi Ferrari,+10.947s
12,29,Julian Bailey,Lotus Judd,+11.344s
16,30,Ivan Capelli,Leyton House Ilmor,+30.703s
