,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Lewis Hamilton,McLaren Mercedes,66,1:13.851,210.049
8,2,Fernando Alonso,Ferrari,67,1:13.855,210.038
1,3,Jenson Button,McLaren Mercedes,71,1:13.932,209.819
6,4,Mark Webber,RBR Renault,69,1:14.047,209.493
4,5,Nico Rosberg,Mercedes,65,1:14.184,209.107
5,6,Sebastian Vettel,RBR Renault,70,1:14.283,208.828
23,7,Kamui Kobayashi,Sauber Ferrari,65,1:14.748,207.529
10,8,Nico Hulkenberg,Williams Cosworth,70,1:14.985,206.873
14,9,Adrian Sutil,Force India Mercedes,64,1:14.997,206.840
22,10,Nick Heidfeld,Sauber Ferrari,68,1:15.068,206.644
11,11,Robert Kubica,Renault,61,1:15.161,206.388
3,12,Michael Schumacher,Mercedes,71,1:15.219,206.229
9,13,Rubens Barrichello,Williams Cosworth,69,1:15.227,206.207
7,14,Felipe Massa,Ferrari,69,1:15.330,205.925
12,15,Vitaly Petrov,Renault,70,1:15.485,205.503
17,16,Jaime Alguersuari,STR Ferrari,68,1:15.695,204.932
16,17,Sebastien Buemi,STR Ferrari,69,1:15.935,204.285
25,18,Lucas di Grassi,Virgin Cosworth,60,1:16.767,202.071
15,19,Vitantonio Liuzzi,Force India Mercedes,37,1:16.940,201.616
19,20,Heikki Kovalainen,Lotus Cosworth,69,1:17.161,201.039
18,21,Jarno Trulli,Lotus Cosworth,69,1:17.316,200.636
20,22,Christian Klien,HRT Cosworth,63,1:17.690,199.670
24,23,Timo Glock,Virgin Cosworth,66,1:17.695,199.657
21,24,Bruno Senna,HRT Cosworth,66,1:17.731,199.565
