,Position,Driver,Car,Time / Gap,Laps
5,1,Sebastian Vettel,RBR Renault,1:11.968,28
6,2,Mark Webber,RBR Renault,+0.104s,34
8,3,Fernando Alonso,Ferrari,+0.360s,36
2,4,Lewis Hamilton,McLaren Mercedes,+0.688s,33
7,5,Felipe Massa,Ferrari,+0.709s,19
11,6,Robert Kubica,Renault,+0.914s,37
1,7,Jenson Button,McLaren Mercedes,+1.238s,33
22,8,Nick Heidfeld,Sauber Ferrari,+1.254s,40
4,9,Nico Rosberg,Mercedes,+1.365s,34
3,10,Michael Schumacher,Mercedes,+1.378s,36
9,11,Rubens Barrichello,Williams Cosworth,+1.552s,37
23,12,Kamui Kobayashi,Sauber Ferrari,+1.642s,41
10,13,Nico Hulkenberg,Williams Cosworth,+1.757s,39
14,14,Adrian Sutil,Force India Mercedes,+1.773s,32
12,15,Vitaly Petrov,Renault,+1.850s,26
15,16,Vitantonio Liuzzi,Force India Mercedes,+2.077s,37
16,17,Sebastien Buemi,STR Ferrari,+2.336s,33
17,18,Jaime Alguersuari,STR Ferrari,+2.610s,37
18,19,Jarno Trulli,Lotus Cosworth,+3.016s,47
19,20,Heikki Kovalainen,Lotus Cosworth,+3.133s,43
25,21,Lucas di Grassi,Virgin Cosworth,+3.465s,35
21,22,Bruno Senna,HRT Cosworth,+4.102s,42
20,23,Christian Klien,HRT Cosworth,+4.114s,38
24,24,Timo Glock,Virgin Cosworth,+4.182s,35
