,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Lewis Hamilton,McLaren Mercedes,1:19.376,1:19.473,1:20.899,12
23,2,Heikki Kovalainen,McLaren Mercedes,1:19.945,1:19.480,1:21.140,16
2,3,Felipe Massa,Ferrari,1:19.578,1:19.068,1:21.191,16
4,4,Robert Kubica,Sauber BMW,1:20.053,1:19.776,1:21.281,19
12,5,Timo Glock,Toyota,1:19.980,1:19.246,1:21.326,24
1,6,Kimi Räikkönen,Ferrari,1:20.006,1:19.546,1:21.516,19
5,7,Fernando Alonso,Renault,1:20.229,1:19.816,1:21.698,15
10,8,Mark Webber,Red Bull Renault,1:20.073,1:20.046,1:21.732,18
11,9,Jarno Trulli,Toyota,1:19.942,1:19.486,1:21.767,20
6,10,Nelson Piquet,Renault,1:20.583,1:20.131,1:22.371,19
15,11,Sebastian Vettel,STR Ferrari,1:20.157,1:20.144,,17
16,12,Jenson Button,Honda,1:20.888,1:20.332,,15
9,13,David Coulthard,Red Bull Renault,1:20.505,1:20.502,,16
14,14,Sebastien Bourdais,STR Ferrari,1:20.640,1:20.963,,16
7,15,Nico Rosberg,Williams Toyota,1:20.748,,,10
3,16,Nick Heidfeld,Sauber BMW,1:21.045,,,7
8,17,Kazuki Nakajima,Williams Toyota,1:21.085,,,9
17,18,Rubens Barrichello,Honda,1:21.332,,,8
21,19,Giancarlo Fisichella,Force India Ferrari,1:21.670,,,9
20,20,Adrian Sutil,Force India Ferrari,1:22.113,,,10
