,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:24.408
2,2,Rubens Barrichello,Ferrari,1:24.482
3,3,Juan Pablo Montoya,Williams BMW,1:24.998
9,4,Jenson Button,BAR Honda,1:24.998
8,5,Fernando Alonso,Renault,1:25.699
14,6,Mark Webber,Jaguar Cosworth,1:25.805
10,7,Takuma Sato,BAR Honda,1:25.851
4,8,Ralf Schumacher,Williams BMW,1:25.925
7,9,Jarno Trulli,Renault,1:26.290
6,10,Kimi Räikkönen,McLaren Mercedes,1:26.297
12,11,Felipe Massa,Sauber Petronas,1:27.065
5,12,David Coulthard,McLaren Mercedes,1:27.294
16,13,Cristiano da Matta,Toyota,1:27.823
11,14,Giancarlo Fisichella,Sauber Petronas,1:27.845
18,15,Nick Heidfeld,Jordan Ford,1:28.178
19,16,Giorgio Pantano,Jordan Ford,1:30.140
21,17,Zsolt Baumgartner,Minardi Cosworth,1:30.681
17,18,Olivier Panis,Toyota,
15,19,Christian Klien,Jaguar Cosworth,
20,20,Gianmaria Bruni,Minardi Cosworth,
