,Position,Driver,Car,Laps,Time,Points
1,1,Michael Schumacher,Ferrari,58,1:24:15.757,10
2,2,Rubens Barrichello,Ferrari,58,+13.605s,8
8,3,Fernando Alonso,Renault,58,+34.673s,6
4,4,Ralf Schumacher,Williams BMW,58,+60.423s,5
3,5,Juan Pablo Montoya,Williams BMW,58,+68.536s,4
9,6,Jenson Button,BAR Honda,58,+70.598s,3
7,7,Jarno Trulli,Renault,57,+1 lap,2
5,8,David Coulthard,McLaren Mercedes,57,+1 lap,1
10,9,Takuma Sato,BAR Honda,57,+1 lap,0
11,10,Giancarlo Fisichella,Sauber Petronas,57,+1 lap,0
15,11,Christian Klien,Jaguar Cosworth,56,+2 laps,0
16,12,Cristiano da Matta,Toyota,56,+2 laps,0
17,13,Olivier Panis,Toyota,56,+2 laps,0
19,14,Giorgio Pantano,Jordan Ford,55,+3 laps,0
12,NC,Felipe Massa,Sauber Petronas,44,DNF,0
18,NC,Nick Heidfeld,Jordan Ford,43,DNF,0
20,NC,Gianmaria Bruni,Minardi Cosworth,43,+15 laps,0
14,NC,Mark Webber,Jaguar Cosworth,29,DNF,0
21,NC,Zsolt Baumgartner,Minardi Cosworth,13,DNF,0
6,NC,Kimi Räikkönen,McLaren Mercedes,9,DNF,0
