,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,16,1:17.943
6,2,David Coulthard,Williams Renault,5,1:18.025
1,3,Michael Schumacher,Benetton Renault,7,1:18.199
2,4,Johnny Herbert,Benetton Renault,33,1:19.056
28,5,Gerhard Berger,Ferrari,7,1:19.493
27,6,Jean Alesi,Ferrari,12,1:19.503
30,7,Heinz-Harald Frentzen,Sauber Ford,20,1:19.861
26,8,Olivier Panis,Ligier Mugen Honda,26,1:20.305
15,9,Eddie Irvine,Jordan Peugeot,14,1:20.563
14,10,Rubens Barrichello,Jordan Peugeot,14,1:20.643
25,11,Martin Brundle,Ligier Mugen Honda,29,1:20.835
7,12,Mark Blundell,McLaren Mercedes,53,1:21.363
4,13,Mika Salo,Tyrrell Yamaha,45,1:21.392
9,14,Gianni Morbidelli,Footwork Hart,12,1:21.418
23,15,Pedro Lamy,Minardi Ford,48,1:21.677
10,16,Taki Inoue,Footwork Hart,14,1:22.641
29,17,Karl Wendlinger,Sauber Ford,4,1:22.784
3,18,Ukyo Katayama,Tyrrell Yamaha,4,1:22.790
22,19,Roberto Moreno,Forti Ford,7,1:22.944
21,20,Pedro Diniz,Forti Ford,4,1:23.253
16,21,Bertrand Gachot,Pacific Ilmor,7,1:24.139
17,22,Andrea Montermini,Pacific Ilmor,2,1:25.242
