,Position,Driver,Car,Time / Gap,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:34.968,13
4,2,Jenson Button,McLaren Mercedes,+0.208s,15
3,3,Lewis Hamilton,McLaren Mercedes,+0.405s,14
8,4,Nico Rosberg,Mercedes,+0.709s,18
5,5,Fernando Alonso,Ferrari,+0.850s,17
6,6,Felipe Massa,Ferrari,+1.003s,15
10,7,Vitaly Petrov,Renault,+1.130s,18
14,8,Adrian Sutil,Force India Mercedes,+1.157s,15
7,9,Michael Schumacher,Mercedes,+1.173s,14
15,10,Paul di Resta,Force India Mercedes,+1.402s,18
9,11,Nick Heidfeld,Renault,+1.436s,16
16,12,Kamui Kobayashi,Sauber Ferrari,+1.614s,18
17,13,Sergio Perez,Sauber Ferrari,+1.628s,17
18,14,Sebastien Buemi,STR Ferrari,+1.749s,16
2,15,Mark Webber,Red Bull Racing Renault,+1.928s,5
19,16,Jaime Alguersuari,STR Ferrari,+1.985s,14
11,17,Rubens Barrichello,Williams Cosworth,+2.039s,20
12,18,Pastor Maldonado,Williams Cosworth,+2.336s,18
20,19,Heikki Kovalainen,Lotus Renault,+3.208s,12
21,20,Jarno Trulli,Lotus Renault,+3.771s,12
24,21,Timo Glock,Virgin Cosworth,+4.970s,17
25,22,Jerome d'Ambrosio,Virgin Cosworth,+5.030s,16
23,23,Vitantonio Liuzzi,HRT Cosworth,+5.625s,17
22,24,Narain Karthikeyan,HRT Cosworth,+5.913s,18
