,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Mark Webber,Red Bull Racing Renault,42,1:38.993,198.232
3,2,Lewis Hamilton,McLaren Mercedes,48,1:40.415,195.424
4,3,Jenson Button,McLaren Mercedes,39,1:40.623,195.021
14,4,Adrian Sutil,Force India Mercedes,54,1:41.157,193.991
8,5,Nico Rosberg,Mercedes,41,1:41.166,193.974
7,6,Michael Schumacher,Mercedes,46,1:41.215,193.880
10,7,Vitaly Petrov,Renault,50,1:41.261,193.792
1,8,Sebastian Vettel,Red Bull Racing Renault,47,1:41.321,193.677
17,9,Sergio Perez,Sauber Ferrari,39,1:41.643,193.063
6,10,Felipe Massa,Ferrari,39,1:41.678,192.997
18,11,Sebastien Buemi,STR Ferrari,45,1:41.696,192.963
12,12,Pastor Maldonado,Williams Cosworth,46,1:41.702,192.951
11,13,Rubens Barrichello,Williams Cosworth,45,1:42.031,192.329
21,14,Jarno Trulli,Lotus Renault,53,1:42.052,192.290
5,15,Fernando Alonso,Ferrari,41,1:42.070,192.256
9,16,Nick Heidfeld,Renault,51,1:42.406,191.625
16,17,Kamui Kobayashi,Sauber Ferrari,32,1:42.577,191.306
15,18,Paul di Resta,Force India Mercedes,45,1:42.614,191.237
20,19,Heikki Kovalainen,Lotus Renault,45,1:42.672,191.129
23,20,Vitantonio Liuzzi,HRT Cosworth,52,1:43.384,189.812
24,21,Timo Glock,Virgin Cosworth,54,1:44.381,187.999
25,22,Jerome d'Ambrosio,Virgin Cosworth,45,1:44.806,187.237
19,23,Jaime Alguersuari,STR Ferrari,5,1:45.700,185.653
22,24,Narain Karthikeyan,HRT Cosworth,41,1:46.081,184.986
