,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Fernando Alonso,Ferrari,58,1:47.976,169.137
5,2,Sebastian Vettel,RBR Renault,59,1:48.141,168.879
11,3,Robert Kubica,Renault,56,1:49.255,167.157
3,4,Michael Schumacher,Mercedes,54,1:49.680,166.509
6,5,Mark Webber,RBR Renault,54,1:49.706,166.470
16,6,Sebastien Buemi,STR Ferrari,59,1:49.710,166.464
1,7,Jenson Button,McLaren Mercedes,61,1:49.711,166.462
4,8,Nico Rosberg,Mercedes,55,1:50.125,165.837
9,9,Rubens Barrichello,Williams Cosworth,52,1:50.334,165.522
2,10,Lewis Hamilton,McLaren Mercedes,31,1:50.750,164.901
12,11,Vitaly Petrov,Renault,46,1:51.903,163.202
7,12,Felipe Massa,Ferrari,45,1:52.079,162.945
10,13,Nico Hulkenberg,Williams Cosworth,45,1:52.213,162.751
17,14,Jaime Alguersuari,STR Ferrari,43,1:52.333,162.577
14,15,Adrian Sutil,Force India Mercedes,45,1:52.473,162.374
22,16,Nick Heidfeld,Sauber Ferrari,29,1:52.475,162.372
25,17,Lucas di Grassi,Virgin Cosworth,55,1:52.513,162.317
19,18,Heikki Kovalainen,Lotus Cosworth,53,1:53.051,161.544
24,19,Timo Glock,Virgin Cosworth,38,1:53.559,160.822
23,20,Kamui Kobayashi,Sauber Ferrari,22,1:53.957,160.260
18,21,Jarno Trulli,Lotus Cosworth,20,1:56.386,156.915
20,22,Christian Klien,HRT Cosworth,23,1:57.766,155.077
21,23,Bruno Senna,HRT Cosworth,19,1:57.962,154.819
