,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:15.606,1:14.277,1:13.556,18
4,2,Jenson Button,McLaren Mercedes,1:15.397,1:14.545,1:13.997,18
2,3,Mark Webber,Red Bull Racing Renault,1:16.087,1:14.742,1:14.019,24
5,4,Fernando Alonso,Ferrari,1:16.051,1:14.569,1:14.483,22
7,5,Michael Schumacher,Mercedes,1:16.092,1:14.981,1:14.682,29
6,6,Felipe Massa,Ferrari,1:16.309,1:14.648,1:14.877,25
8,7,Nico Rosberg,Mercedes,1:15.858,1:14.741,1:15.766,26
12,8,Pastor Maldonado,Williams Cosworth,1:15.819,1:15.545,1:16.528,23
3,9,Lewis Hamilton,McLaren Mercedes,1:15.207,1:14.275,DEL,15
17,10,Sergio Perez,Sauber Ferrari,1:15.918,1:15.482,DNF,23
10,11,Vitaly Petrov,Renault,1:16.378,1:15.815,,21
11,12,Rubens Barrichello,Williams Cosworth,1:16.616,1:15.826,,20
16,13,Kamui Kobayashi,Sauber Ferrari,1:16.513,1:15.973,,20
15,14,Paul di Resta,Force India Mercedes,1:16.813,1:16.118,,22
14,15,Adrian Sutil,Force India Mercedes,1:16.600,1:16.121,,19
9,16,Nick Heidfeld,Renault,1:16.681,1:16.214,,22
18,17,Sebastien Buemi,STR Ferrari,1:16.358,1:16.300,,17
20,18,Heikki Kovalainen,Lotus Renault,1:17.343,,,10
21,19,Jarno Trulli,Lotus Renault,1:17.381,,,9
19,20,Jaime Alguersuari,STR Ferrari,1:17.820,,,9
24,21,Timo Glock,Virgin Cosworth,1:17.914,,,12
25,22,Jerome d'Ambrosio,Virgin Cosworth,1:18.736,,,11
